station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ABO,2001,1,1,0,-0.9,56,3.3,-9.1,2.45,-3.4,5.3,0,856.1,18,0.4,1.7,0,0,0,0,0,0,0,181,50,51,97
ABO,2001,1,1,1,-1.1,50.8,3,-10.5,2.18,-3.9,4.4,0,857.5,225,0.8,3.9,0,0,0,0,0,0,0,188,75,51,97
ABO,2001,1,1,2,-0.9,47.3,2.8,-11.2,2.01,-4,4.1,0,858.3,225,0.3,1.7,0,0,0,0,0,0,0,187,38,51,97
ABO,2001,1,1,3,-0.8,44.2,2.6,-11.7,1.88,-4.1,3.9,0,859.1,315,0.3,1.6,0,0,0,0,0,0,0,186,0,51,97
ABO,2001,1,1,4,-0.4,42.8,2.6,-11.6,1.87,-3.8,4.2,0,859.3,225,0.6,3.4,0,0,0,0,0,0,0,190,13,51,97
ABO,2001,1,1,5,-0.1,45.9,2.8,-10.5,2.04,-3.4,5,0,859,270,0.6,2.2,0,0,0,0,0,0,0,195,25,51,97
ABO,2001,1,1,6,0.3,49.3,3.1,-9.2,2.25,-2.8,5.9,0,858.6,207,0.3,2.8,0,0,0,0,0,0,0,198,25,51,97
ABO,2001,1,1,7,0.6,54.9,3.5,-7.6,2.53,-2.3,6.8,0,858.6,315,1,3.2,11,0,11,13,13,13,14,201,13,51,97
ABO,2001,1,1,8,-0.9,64.2,3.7,-6.8,2.69,-3,5.8,0,858.3,239,0.6,2.7,37,0,37,63,62,62,64,211,43,51,97
ABO,2001,1,1,9,3,57.6,4.3,-4.5,3.13,0.1,10.8,0,858.5,256,1.1,3.6,89,0,89,103,103,103,104,221,68,51,97
ABO,2001,1,1,10,4,59.3,4.8,-3.2,3.5,1,12.8,0,858.5,270,0.7,2.2,244,233,167,129,211,373,129,234,100,51,97
ABO,2001,1,1,11,5.1,55.9,4.9,-3,3.57,1.7,14.1,0,858.1,239,0.6,2.2,258,233,177,137,158,387,162,240,100,51,97
ABO,2001,1,1,12,5.8,53.1,4.8,-3,3.5,2.1,14.6,0,857.5,225,0.6,2.2,258,318,155,126,126,451,250,246,100,51,97
ABO,2001,1,1,13,5.4,55,5,-2.9,3.65,1.9,14.6,0,857.2,270,0.3,1.6,187,239,126,98,98,322,235,246,100,51,97
