time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,0.9,86.4,1.6,2.9,97,,0,0,0
2035,1,1,1,-0.8,86,1.6,3,84,,0,0,0
2035,1,1,2,-2.1,85.8,1.5,2.8,79,,0,0,0
2035,1,1,3,-3.4,85.3,1.4,2.6,78,,0,0,0
2035,1,1,4,-4.3,85,1,2.1,88,,0,0,0
2035,1,1,5,-4.6,85,0.6,1.6,99,,0,0,0
2035,1,1,6,-5.1,84.8,0.5,1.4,109,,0,0,0
2035,1,1,7,-5.1,84.3,0.5,1.3,105,,4,0,0
2035,1,1,8,-4.8,85.1,0.6,1.3,166,,63,0,0
2035,1,1,9,-4.1,79.3,0.4,1,194,,168,32,311
2035,1,1,10,-3.3,80.6,0.9,3.2,7,,255,63,516
2035,1,1,11,-1.8,76.9,0.6,3.1,349,,303,105,655
2035,1,1,12,-0.3,72.7,1,2.9,360,,293,89,601
2035,1,1,13,0.2,71.2,1.7,4.6,357,,246,121,373
2035,1,1,14,-1,77.9,2.9,5,8,,154,118,121
2035,1,1,15,-1.9,83.1,1.7,3.7,3,,50,50,0
2035,1,1,16,-2.1,84.7,1.2,2.1,18,,2,0,0
2035,1,1,17,-2.1,84.8,0.5,1.2,207,,0,0,0
2035,1,1,18,-2,85.8,0.6,1.9,297,,0,0,0
2035,1,1,19,-2.3,83.9,0.3,1.1,270,,0,0,0
2035,1,1,20,-3,87.7,0.7,2.1,180,,0,0,0
2035,1,1,21,-2.8,85.9,0.5,1.6,180,,0,0,0
2035,1,1,22,-3.1,85.5,0.5,1.3,0,,0,0,0
2035,1,1,23,-3.9,85.2,1,1.5,201,,0,0,0
2035,1,2,0,-3.4,83.4,0.7,1.3,196,,0,0,0
2035,1,2,1,-3.7,86.8,1,1.8,139,,0,0,0
2035,1,2,2,-3.4,84.2,2.3,4.3,194,,0,0,0
2035,1,2,3,-3.2,87.1,0.9,2.8,202,,0,0,0
2035,1,2,4,-3.8,86.6,1,3.4,198,,0,0,0
2035,1,2,5,-2.8,86.1,1.8,3.8,233,,0,0,0
2035,1,2,6,-2.2,89.6,1.7,3.8,210,,0,0,0
2035,1,2,7,-2.4,92.2,2.3,4.2,225,,5,0,0
2035,1,2,8,-2.1,93.5,2,3.5,186,,60,0,0
2035,1,2,9,-1.6,93.1,2.2,4.1,199,,157,32,312
2035,1,2,10,-0.8,92.4,2.2,4.8,204,,272,78,451
2035,1,2,11,0.5,89.6,2,4,183,,145,122,75
2035,1,2,12,1.2,88.9,1.8,3.3,190,,86,86,0
2035,1,2,13,1.7,87.2,1.8,3.4,201,,59,59,0
2035,1,2,14,1.9,87.1,1.9,3.3,201,,23,23,0
2035,1,2,15,2,87.4,2.3,5.3,193,,8,8,0
2035,1,2,16,2.2,88.4,1.7,2.9,225,,0,0,0
2035,1,2,17,2.6,87.4,2.4,5.1,196,,0,0,0
2035,1,2,18,2.7,88.5,1.1,2.8,246,,0,0,0
2035,1,2,19,2.9,88.7,0.8,2.3,207,,0,0,0
2035,1,2,20,3.3,88,2.2,5.2,192,,0,0,0
2035,1,2,21,3.4,88.6,0.7,1.8,304,,0,0,0
2035,1,2,22,3.2,89,0.5,1.7,18,,0,0,0
2035,1,2,23,2.8,91.1,0.8,1.5,22,,0,0,0
2035,1,3,0,2.6,91.8,0.5,1.5,18,,0,0,0
2035,1,3,1,2.3,95.4,0.6,1.5,22,,0,0,0
2035,1,3,2,2.2,93.5,0.6,1.3,191,,0,0,0
2035,1,3,3,2.2,92.8,0.7,1.3,214,,0,0,0
2035,1,3,4,2,93,1.1,2,214,,0,0,0
2035,1,3,5,1.2,95.5,1.7,2.5,220,,0,0,0
2035,1,3,6,1.2,93.8,1.6,2.5,218,,0,0,0
2035,1,3,7,1.7,92.9,1.4,3,189,,2,0,0
2035,1,3,8,2.1,91.3,1,2.3,180,,21,0,0
2035,1,3,9,2.6,89.5,1.5,3,168,,59,43,143
2035,1,3,10,2.9,89.8,1.3,2.7,200,,80,79,6
2035,1,3,11,3.4,88.3,2.4,4.6,177,,106,105,6
2035,1,3,12,3.5,89,1.6,4.9,180,,63,63,0
2035,1,3,13,4.3,88.7,2.6,5.8,192,,55,55,0
2035,1,3,14,4.6,87.7,2.3,4.5,175,,40,40,0
2035,1,3,15,4.9,88.9,2.2,3.8,161,,11,11,0
2035,1,3,16,7.6,86.5,2.4,5.4,219,,0,0,0
2035,1,3,17,8.5,87.6,3.5,7.2,239,,0,0,0
2035,1,3,18,8.9,88.2,4.5,9.9,228,,0,0,0
2035,1,3,19,10,83.1,5.8,11.9,238,,0,0,0
