station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0;tso005hs;tso010hs;tso020hs
CDF;01.01.2026 00:00;-9.9;-10.5;-8.7;-14.2;-14.5;65.2;1.9;-15.2;900.7;;1017.6;;1462.8;0.7;45;0.2;0.7;2.5;0.7;2.5;;;0;0;0;;;;;0;-0.003;1.1;1.1;1.7
CDF;01.01.2026 01:00;-10.4;-11.5;-9.7;-14.1;-14.2;66.6;1.8;-15.4;899.7;;1016.5;;1453.9;0.9;90;0.2;0.7;3.2;0.9;3.2;;;0;0;0;;;;;0;-0.003;1.1;1.1;1.7
CDF;01.01.2026 02:00;-9.5;-10.1;-9.1;-14.1;-14.3;64.3;1.9;-15;899.5;;1016.3;;1453.4;1.5;239;0.6;2.2;5.4;1.5;5.4;;;0;0;0;;;;;0;0;1.1;1.1;1.7
CDF;01.01.2026 03:00;-10.2;-11.1;-9.2;-14.3;-14.5;68.1;1.9;-15;899.2;;1016;;1449.9;2.2;239;0.6;2.2;7.9;2.1;7.6;;;0;0;0;;;;;0;-0.001;1.1;1.1;1.7
CDF;01.01.2026 04:00;-9.6;-11;-8.1;-13.5;-13.9;66;1.9;-14.8;898.4;;1015.1;;1444.2;1.9;243;1.1;4;6.8;1.8;6.5;;;0;0;0;;;;;0;0.002;1.1;1.1;1.7
CDF;01.01.2026 05:00;-10.1;-11;-9.4;-14.1;-14.3;69.1;2;-14.7;897.7;;1014.3;;1436.9;1.1;225;0.5;1.8;4;1.1;4;;;0;0;0;;;;;0;-0.001;1.1;1.1;1.7
CDF;01.01.2026 06:00;-10.6;-11.3;-9.9;-13.8;-14.6;71.9;2;-14.7;897.4;;1014;;1434;2.2;225;0.7;2.5;7.9;2.2;7.9;;;0;0;0;;;;;0;0;1.1;1.1;1.6
CDF;01.01.2026 07:00;-10.5;-11.7;-9.3;-14.7;-14.9;73.8;2.1;-14.3;897.3;;1013.9;;1433.2;2.3;225;0.4;1.4;8.3;2.2;7.9;;;0;0;0;;;;;0;-0.002;1;1.1;1.6
CDF;01.01.2026 08:00;-10.6;-11.4;-9.7;-13.6;-14.3;73.4;2;-14.5;896.9;;1013.4;;1429.3;3.1;236;1.1;4;11.2;3.1;11.2;;;0;0;10;;;;;3;0.003;1;1.1;3.1
CDF;01.01.2026 09:00;-7.9;-9.9;-6.3;-6.3;-9.4;63.7;2.1;-13.6;896.7;;1013.2;;1432;2.8;245;2.1;7.6;10.1;2.7;9.7;;;0;0;134;;;;;60;0.03;1;1;1.7
