station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
EVO,1998,1,1,0,-3.5,63,3,-9.7,2.34,-5.6,2.3,0,808.5,95,1.2,5.2,0,0,0,0,0,0,0,217,88,79,97
EVO,1998,1,1,1,-1.9,60.9,3.3,-8.6,2.54,-4.3,4.4,0,810.3,86,1.5,4.3,0,0,0,0,0,0,0,220,100,79,97
EVO,1998,1,1,2,-0.9,60.3,3.5,-7.7,2.68,-3.4,5.8,0,811.5,68,0.7,4.2,0,0,0,0,0,0,0,221,100,79,97
EVO,1998,1,1,3,-0.1,60,3.7,-7,2.82,-2.6,7,0,812.9,27,0.8,3.5,0,0,0,0,0,0,0,222,100,79,97
EVO,1998,1,1,4,0.3,60.4,3.8,-6.5,2.9,-2.3,7.5,0,813.6,90,0.9,2.7,0,0,0,0,0,0,0,220,88,79,97
EVO,1998,1,1,5,0.1,60.7,3.8,-6.6,2.88,-2.4,7.3,0,813.9,360,1.3,3.9,0,0,0,0,0,0,0,223,100,79,97
EVO,1998,1,1,6,0.1,60.9,3.7,-6.6,2.88,-2.4,7.2,0,814.2,31,0.7,2.7,0,0,0,0,0,0,0,219,75,79,97
EVO,1998,1,1,7,0.3,59.5,3.7,-6.7,2.85,-2.3,7.4,0,814.6,96,1.1,2.8,12,0,12,22,22,21,21,212,38,79,97
EVO,1998,1,1,8,1.3,52.1,3.5,-7.4,2.68,-1.9,8,0,814.9,76,1.7,5.4,106,127,80,93,180,200,90,227,100,79,97
EVO,1998,1,1,9,1,58.7,3.9,-6.2,2.99,-1.7,8.5,0,815.5,18,0.7,4.9,213,239,147,150,284,377,146,228,100,79,97
EVO,1998,1,1,10,0.5,66.4,4.2,-5,3.22,-1.6,8.5,0,815.2,360,0.4,2.4,265,239,184,187,275,435,182,227,88,79,97
EVO,1998,1,1,11,1,66,4.3,-4.6,3.3,-1.2,9.2,0,815.2,326,0.7,3.3,280,236,196,198,222,450,220,231,100,79,97
EVO,1998,1,1,12,1.5,63.4,4.3,-4.7,3.3,-1,9.7,0,814.5,108,0.8,3.6,259,236,181,183,184,426,271,232,100,79,97
EVO,1998,1,1,13,1,66.3,4.4,-4.6,3.38,-1.2,9.4,0,814.6,309,1.2,3.6,204,241,141,144,144,368,280,231,100,79,97
EVO,1998,1,1,14,0.9,67.5,4.4,-4.4,3.38,-1.2,9.3,0,814.2,90,0.5,1.8,97,131,72,85,85,191,172,231,100,79,97
EVO,1998,1,1,15,0.3,67.4,4.2,-5,3.23,-1.8,8.3,0,814.1,342,0.7,3,13,0,13,19,19,18,18,230,100,79,97
EVO,1998,1,1,16,-0.1,67,4.1,-5.5,3.15,-2.2,7.7,0,814.2,53,0.7,2.6,0,0,0,0,0,0,0,227,88,79,97
EVO,1998,1,1,17,0.1,65.8,4,-5.5,3.07,-2,7.8,0,813.8,54,1.1,2.5,0,0,0,0,0,0,0,229,100,79,97
EVO,1998,1,1,18,-0.1,66.7,4,-5.5,3.07,-2.2,7.6,0,813.7,331,1.1,3,0,0,0,0,0,0,0,226,88,79,97
EVO,1998,1,1,19,-0.5,69.6,4.1,-5.4,3.15,-2.4,7.3,0,813.3,31,0.9,3.3,0,0,0,0,0,0,0,222,68,79,97
EVO,1998,1,1,20,-0.4,68.4,4,-5.5,3.07,-2.3,7.3,0,813.2,45,0.7,2.4,0,0,0,0,0,0,0,224,75,79,97
EVO,1998,1,1,21,-0.6,70.9,4.1,-5.2,3.15,-2.3,7.3,0,813,352,0.8,2.8,0,0,0,0,0,0,0,231,100,79,97
EVO,1998,1,1,22,-0.7,72.8,4.2,-5,3.23,-2.3,7.3,0,812.5,68,0.9,2.1,0,0,0,0,0,0,0,232,100,79,97
EVO,1998,1,1,23,-0.9,74.2,4.2,-4.9,3.23,-2.4,7.2,0,811.8,11,0.8,2.9,0,0,0,0,0,0,0,232,100,79,97
EVO,1998,1,2,0,-1.7,82.2,4.4,-4.3,3.39,-2.7,6.7,0,810.9,45,0.6,2,0,0,0,0,0,0,0,233,100,84,97
EVO,1998,1,2,1,-2,86.6,4.6,-3.9,3.55,-2.7,6.8,0,810.5,90,0.4,2.1,0,0,0,0,0,0,0,234,100,84,97
EVO,1998,1,2,2,-2.5,93.7,4.8,-3.4,3.71,-2.9,6.7,0,809.8,321,0.9,3.5,0,0,0,0,0,0,0,235,100,84,97
EVO,1998,1,2,3,-2.4,94.4,4.8,-3.2,3.71,-2.7,6.8,0.2,809.4,135,0.8,2.5,0,0,0,0,0,0,0,233,88,84,97
EVO,1998,1,2,4,-2.4,94.9,4.9,-3.1,3.79,-2.7,7,0.8,809.1,117,0.5,2.5,0,0,0,0,0,0,0,231,75,84,97
EVO,1998,1,2,5,-1.8,94.2,5,-2.6,3.87,-2.1,7.8,0.4,808.7,104,1,2.9,0,0,0,0,0,0,0,224,43,84,97
EVO,1998,1,2,6,-0.9,86.1,4.9,-2.9,3.8,-1.7,8.6,0,807.6,97,1.8,4.5,0,0,0,0,0,0,0,229,63,84,97
EVO,1998,1,2,7,-1.8,91.9,4.9,-2.9,3.8,-2.2,7.6,0,807.5,18,0.9,4.2,12,0,12,23,23,22,21,238,100,84,97
EVO,1998,1,2,8,-1.7,93.1,5,-2.7,3.88,-2.1,7.9,0,807.5,114,1.1,2.8,125,254,73,102,270,310,96,238,100,84,97
