station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
FRE,2013,1,1,0,-0.2,82.3,4.9,-2.9,3.56,-1.2,8.6,0,868.7,227,1.8,5.5,0,0,0,0,0,0,0,289,100,34,96
FRE,2013,1,1,1,-0.1,79,4.8,-3.3,3.43,-1.3,8.5,0,870.7,243,1.5,4.8,0,0,0,0,0,0,0,289,100,34,96
FRE,2013,1,1,2,0,77.4,4.7,-3.6,3.36,-1.4,8.3,0,872,212,1,4,0,0,0,0,0,0,0,293,100,34,96
FRE,2013,1,1,3,0.1,75.7,4.6,-3.7,3.31,-1.3,8.4,0,873.4,222,1.5,5,0,0,0,0,0,0,0,296,100,34,96
FRE,2013,1,1,4,0.2,74.7,4.6,-3.7,3.3,-1.3,8.5,0,873.9,225,2.6,7.7,0,0,0,0,0,0,0,299,100,34,96
FRE,2013,1,1,5,0.4,75.9,4.8,-3.4,3.41,-1,8.9,0,873.9,202,3,8.1,0,0,0,0,0,0,0,301,100,34,96
FRE,2013,1,1,6,0.5,77.9,4.9,-2.9,3.52,-0.9,9.2,0,874,204,3.2,10.9,0,0,0,0,0,0,0,304,100,34,96
FRE,2013,1,1,7,0.8,81.6,5.3,-2,3.78,-0.4,10.2,0,874.2,213,4.6,11.3,1,0,1,1,1,1,1,308,100,34,96
FRE,2013,1,1,8,1.5,85.2,5.8,-0.7,4.15,0.6,11.9,0,874.4,205,4.7,10.3,13,0,13,8,9,9,8,313,100,34,96
FRE,2013,1,1,9,1.3,92,6.2,0.1,4.44,0.8,12.4,0.3,874.8,206,4.3,12.7,13,0,13,8,9,9,8,316,100,34,96
FRE,2013,1,1,10,0.8,97.2,6.3,0.4,4.51,0.6,12.1,0.2,874.9,200,2.3,6.4,36,0,36,23,24,24,23,319,100,34,96
FRE,2013,1,1,11,0.7,98.4,6.3,0.5,4.51,0.6,12,0.2,874.7,199,2.2,6.9,45,0,45,28,30,30,29,321,100,34,96
FRE,2013,1,1,12,0.6,99.7,6.4,0.6,4.59,0.6,12.1,0.5,874.6,209,2.4,4.9,22,0,22,14,15,15,14,323,100,34,96
FRE,2013,1,1,13,0.5,100,6.4,0.5,4.58,0.5,11.9,0.3,874.7,207,2.7,6.6,13,0,13,8,8,8,8,323,100,34,96
FRE,2013,1,1,14,0.3,100,6.2,0.3,4.44,0.3,11.4,1.1,874.9,207,1.8,4.4,8,0,8,5,5,5,5,322,100,34,96
FRE,2013,1,1,15,0.2,100,6.2,0.2,4.44,0.2,11.3,1.1,875.1,205,1.9,4,6,7,5,3,4,8,9,322,100,34,96
FRE,2013,1,1,16,0,100,6.1,0,4.36,0,10.9,0.3,875.4,209,1.8,3.8,0,0,0,0,0,0,0,322,100,34,96
FRE,2013,1,1,17,0.1,100,6.2,0.1,4.44,0.1,11.2,0.3,875.6,202,1.6,3.2,0,0,0,0,0,0,0,322,100,34,96
FRE,2013,1,1,18,-0.1,100,6.1,-0.1,4.36,-0.1,10.8,0,875.8,194,1.2,2.5,0,0,0,0,0,0,0,321,100,34,96
