time.yy,time.mm,time.dd,time.hh,tre200h0,prestahs,ure200h0,rre150h0,fkl010h0,fkl010h1,dkl010h0,tso100hs,nto000sw,gls,str.diffus,str.direkt,str.vert.E,str.vert.S,str.vert.W,str.vert.N,bodenalbedo,ir.horizontal,ir.vertikal.S,bodenemissivitaet,dewpt,enthalpy,mixratio,wetbulb
1985,1,1,0,1,973.7,80.5,0,1.6,2.5,237,NA,NA,2,0,0,0,0,0,0,14,275,290,94,-1.9,10.5,3.79,0
1985,1,1,1,-0.7,974.1,78.3,0,1.4,2.5,231,NA,NA,2,0,0,0,0,0,0,14,268,283,94,-4,7.3,3.2,-1.8
1985,1,1,2,-1.7,974,76.9,0,0.5,1.2,258,NA,NA,2,0,0,0,0,0,0,14,266,280,94,-5.3,5.3,2.84,-2.9
1985,1,1,3,-2.8,973.8,75.3,0,0.9,2.5,244,NA,NA,2,0,0,0,0,0,0,14,263,277,94,-6.5,3.4,2.47,-4
1985,1,1,4,-3.2,973.3,74.6,0,0.7,1.5,273,NA,NA,2,0,0,0,0,0,0,14,266,278,94,-7.1,2.5,2.31,-4.4
1985,1,1,5,-3,972.6,74.4,0,1.3,2.8,244,NA,NA,1,0,0,0,0,0,0,65,266,279,98,-7,2.7,2.33,-4.3
1985,1,1,6,-2.9,971.7,73.9,0,1.8,2.9,220,NA,8,3,0,0,0,0,0,0,65,258,276,98,-6.9,2.9,2.34,-4.2
1985,1,1,7,-2.7,971.3,72.7,0,1.2,2.8,229,NA,NA,3,0,0,0,0,0,0,65,261,279,98,-6.9,3.1,2.34,-4
1985,1,1,8,-2.4,971.1,72.4,0,1.3,3.1,257,NA,NA,15,15,0,9,9,11,11,65,280,288,98,-6.7,3.5,2.38,-3.8
1985,1,1,9,-2.2,970.6,71.3,0,0.6,2.9,283,NA,NA,59,59,0,46,47,44,44,65,283,292,98,-6.7,3.7,2.38,-3.6
1985,1,1,10,-1.6,970,70.7,0,1.5,2.7,223,NA,NA,124,121,9,105,134,86,86,65,284,294,98,-6.2,4.5,2.47,-3.1
1985,1,1,11,-1.1,968.8,70.4,0,1.7,4.2,255,NA,NA,220,153,194,120,380,81,73,14,288,295,94,-5.8,5.3,2.56,-2.7
1985,1,1,12,-0.1,968,68.6,0,1.6,3,250,NA,7,146,139,22,64,129,72,61,14,292,296,94,-5.2,6.6,2.68,-1.9
1985,1,1,13,0.8,967.2,66.8,0,2.1,4,238,NA,NA,155,136,63,60,187,110,59,14,295,299,94,-4.7,7.8,2.79,-1.1
1985,1,1,14,1,966.9,69.2,0,2.8,4.7,247,NA,NA,86,85,3,38,57,51,38,14,295,297,94,-4,8.3,2.94,-0.8
1985,1,1,15,0.5,966.4,72.6,0,2.8,4.4,241,NA,NA,28,28,0,13,13,13,13,14,293,294,94,-3.8,7.9,2.97,-1
1985,1,1,16,0.7,965.6,72.1,0,3,5.7,217,NA,NA,4,0,0,0,0,0,0,14,294,294,94,-3.7,8.2,3,-0.9
1985,1,1,17,0.3,965.2,70.7,0,3.3,7,213,NA,NA,0,0,0,0,0,0,0,14,255,274,94,-4.4,7.4,2.86,-1.4
1985,1,1,18,0.2,964.4,71,0,4.3,7.1,220,NA,6,1,0,0,0,0,0,0,14,255,275,94,-4.4,7.3,2.85,-1.4
1985,1,1,19,-0.2,963.5,76.4,0,4.3,7,228,NA,NA,0,0,0,0,0,0,0,14,254,274,94,-3.8,7.2,2.98,-1.5
1985,1,1,20,-0.6,962.8,85.8,0,3.8,6.8,230,NA,NA,0,0,0,0,0,0,0,14,297,297,94,-2.7,7.5,3.26,-1.4
1985,1,1,21,-0.9,962,89,0.2,2.6,5,224,NA,NA,0,0,0,0,0,0,0,14,296,296,94,-2.5,7.3,3.31,-1.5
1985,1,1,22,-0.8,961.1,86.1,0,2.4,5.5,231,NA,NA,1,0,0,0,0,0,0,14,299,299,94,-2.8,7.2,3.23,-1.5
1985,1,1,23,-0.8,960.8,83.3,0.1,2.2,6.4,245,NA,NA,0,0,0,0,0,0,0,14,296,296,94,-3.3,7,3.12,-1.7
1985,1,2,0,-1.1,960.1,91.6,0,2.9,5.1,237,NA,NA,0,0,0,0,0,0,0,14,296,296,94,-2.3,7.3,3.36,-1.5
1985,1,2,1,-0.8,959.6,92.1,0,2.1,4.3,223,NA,NA,2,0,0,0,0,0,0,14,301,301,94,-1.9,7.8,3.46,-1.2
1985,1,2,2,-0.9,959,86.7,0,1.5,2.9,234,NA,NA,1,0,0,0,0,0,0,14,295,295,94,-2.8,7.1,3.23,-1.6
1985,1,2,3,-0.4,958.2,87,0.1,2.3,5,226,NA,NA,1,0,0,0,0,0,0,14,299,299,94,-2.3,8,3.37,-1.1
1985,1,2,4,-0.5,957.6,91.7,0.2,2.3,3.7,234,NA,NA,0,0,0,0,0,0,0,14,298,298,94,-1.7,8.3,3.53,-1
1985,1,2,5,-0.7,957.8,92.5,0.1,2.4,4.7,225,NA,NA,0,0,0,0,0,0,0,30,298,300,98,-1.8,8,3.51,-1.1
1985,1,2,6,-0.5,958.5,91.5,0.1,1.9,5.2,239,NA,8,0,0,0,0,0,0,0,30,299,300,98,-1.7,8.3,3.52,-1
1985,1,2,7,-0.2,958.8,88.9,0,1.9,3.7,199,NA,NA,0,0,0,0,0,0,0,30,300,301,98,-1.8,8.5,3.49,-0.8
1985,1,2,8,0,958.5,79.2,0,2.3,4.2,225,NA,NA,28,28,0,16,16,15,15,30,264,284,98,-3.2,7.9,3.15,-1.2
1985,1,2,9,0.2,958.3,76.7,0,2.3,5.1,209,NA,NA,60,60,0,36,37,33,33,30,267,287,98,-3.4,7.9,3.1,-1.1
1985,1,2,10,-0.3,957.9,84.8,0,3.6,6.1,226,NA,NA,68,68,0,39,39,38,38,30,264,286,98,-2.5,7.9,3.31,-1.1
1985,1,2,11,-0.6,957.5,93,0.7,2.9,4.6,226,NA,NA,67,67,0,45,44,45,45,50,299,302,98,-1.6,8.2,3.55,-1
1985,1,2,12,-0.2,957.4,92.1,0.1,2.9,4.9,217,NA,8,130,129,4,84,113,87,82,50,301,304,98,-1.3,8.8,3.62,-0.6
1985,1,2,13,0.5,957.9,72.2,0,2.1,7.2,237,NA,NA,210,123,284,107,469,252,107,50,305,307,98,-3.9,7.9,2.98,-1.1
1985,1,2,14,0.2,958.2,56.7,0,3.8,7.8,321,NA,NA,107,93,63,64,168,137,64,50,290,299,98,-7.4,5.9,2.29,-2.3
1985,1,2,15,0.2,958.6,56.7,0,2.8,7.1,326,NA,NA,25,25,0,17,16,16,17,50,290,296,98,-7.4,5.9,2.29,-2.3
1985,1,2,16,-0.6,958.8,58.3,0,1.9,4.1,310,NA,NA,0,0,0,0,0,0,0,50,285,293,98,-7.8,4.9,2.22,-2.9
1985,1,2,17,-1,959.7,59.8,0,2.5,7.9,310,NA,NA,0,0,0,0,0,0,0,50,294,296,98,-7.8,4.5,2.21,-3.1
1985,1,2,18,-1.6,960,59.5,0,2.5,7,313,NA,8,0,0,0,0,0,0,0,50,291,294,98,-8.4,3.6,2.1,-3.7
1985,1,2,19,-1.7,960.3,61.3,0,2.7,5.2,318,NA,NA,0,0,0,0,0,0,0,50,291,294,98,-8.2,3.6,2.15,-3.7
1985,1,2,20,-2.2,960.4,71.3,0,0.9,3,24,NA,NA,1,0,0,0,0,0,0,50,280,286,98,-6.7,3.8,2.41,-3.6
1985,1,2,21,-2.1,960.6,76,0,0.5,2,155,NA,NA,0,0,0,0,0,0,0,50,281,286,98,-5.8,4.3,2.59,-3.3
1985,1,2,22,-2.5,961,77.2,0,0.6,1.9,262,NA,NA,0,0,0,0,0,0,0,50,279,286,98,-5.9,3.8,2.55,-3.6
1985,1,2,23,-2.8,961.1,83.7,0.1,2,3.3,220,NA,NA,0,0,0,0,0,0,0,50,252,273,98,-5.2,3.9,2.7,-3.6
1985,1,3,0,-2.9,960.9,88.3,0,1.9,5.1,204,NA,NA,0,0,0,0,0,0,0,50,253,273,98,-4.6,4.1,2.83,-3.5
1985,1,3,1,-3.1,961.2,88.1,0.2,0.5,1.8,162,NA,NA,0,0,0,0,0,0,0,50,250,272,98,-4.8,3.8,2.78,-3.7
1985,1,3,2,-3.4,961.2,90.6,0,0.6,1.9,264,NA,NA,0,0,0,0,0,0,0,50,259,274,98,-4.7,3.5,2.8,-3.8
1985,1,3,3,-3.6,961,91.5,0,1.1,2.2,255,NA,NA,2,0,0,0,0,0,0,50,258,273,98,-4.8,3.3,2.79,-4
1985,1,3,4,-3.8,961.2,92.3,0.1,1,2.2,243,NA,NA,0,0,0,0,0,0,0,50,258,273,98,-4.9,3,2.77,-4.2
1985,1,3,5,-3.8,961.6,92,0,1.4,2.7,232,NA,NA,1,0,0,0,0,0,0,50,255,268,98,-4.9,3,2.76,-4.2
1985,1,3,6,-4.8,962,91.2,0,1.1,2.9,253,NA,8,0,0,0,0,0,0,0,50,251,257,98,-6,1.5,2.53,-5.2
1985,1,3,7,-5.5,962.5,85.8,0,0.7,3,262,NA,NA,5,0,0,0,0,0,0,50,248,254,98,-7.5,0.1,2.26,-6.1
1985,1,3,8,-5.6,962.9,73.3,0,0.4,1.9,35,NA,NA,48,44,41,84,80,30,30,50,239,255,98,-9.6,-0.9,1.91,-6.7
1985,1,3,9,-4,963.2,74,0,1.9,4.4,79,NA,NA,136,102,149,214,271,76,76,50,245,270,98,-7.9,1.4,2.18,-5.2
1985,1,3,10,-3.2,963,68.9,0,1,3.2,65,NA,NA,257,129,414,313,601,122,120,50,246,274,98,-8.1,2.1,2.15,-4.7
1985,1,3,11,-3.8,962.8,69.7,0,1.1,2.4,316,NA,NA,170,149,61,120,231,103,98,50,236,260,98,-8.5,1.3,2.08,-5.2
1985,1,3,12,-3.2,962.8,58.7,0,1,2.2,10,NA,3,188,153,97,112,302,137,105,50,235,264,98,-10.1,1.3,1.83,-5.1
1985,1,3,13,-2.9,962.8,56.9,0,1.1,3.1,9,NA,NA,291,109,589,126,752,376,126,50,238,270,98,-10.2,1.6,1.82,-5
1985,1,3,14,-2.7,963,55.9,0,1.1,3.5,356,NA,NA,182,57,549,82,575,430,82,50,248,273,98,-10.3,1.8,1.81,-4.8
1985,1,3,15,-3.3,963.3,55.7,0,1.6,3.3,344,NA,NA,75,33,376,40,325,350,40,50,241,261,98,-10.9,1,1.73,-5.4
1985,1,3,16,-4.4,963.4,58.9,0,0.9,3.6,310,NA,NA,5,0,0,0,0,0,0,50,237,251,98,-11.2,-0.3,1.68,-6.2
1985,1,3,17,-5.4,963.6,67.8,0,0.7,2.2,221,NA,NA,0,0,0,0,0,0,0,50,207,238,98,-10.4,-1,1.79,-6.7
1985,1,3,18,-7.5,963.8,74.2,0,1.2,2,220,NA,4,0,0,0,0,0,0,0,50,200,228,98,-11.3,-3.4,1.67,-8.4
1985,1,3,19,-8.9,963.7,82.7,0,1.3,2.5,222,NA,NA,0,0,0,0,0,0,0,50,203,229,98,-11.3,-4.8,1.67,-9.5
1985,1,3,20,-8.4,963.9,84.4,0,2.1,3.2,221,NA,NA,0,0,0,0,0,0,0,50,228,244,98,-10.6,-4.1,1.77,-8.9
1985,1,3,21,-7.9,963.8,83,0,2.1,3.5,225,NA,NA,0,0,0,0,0,0,0,50,233,249,98,-10.3,-3.5,1.81,-8.5
1985,1,3,22,-7.2,964.1,82.1,0,1.8,4,219,NA,NA,0,0,0,0,0,0,0,50,231,250,98,-9.7,-2.6,1.89,-7.9
1985,1,3,23,-7.2,963.8,82.6,0,1,3.3,255,NA,NA,1,0,0,0,0,0,0,50,269,272,98,-9.7,-2.5,1.9,-7.9
1985,1,4,0,-6.5,963.5,82.1,0,0.6,1.3,217,NA,NA,3,0,0,0,0,0,0,50,272,273,98,-9,-1.6,2,-7.2
1985,1,4,1,-6.9,963.4,81.3,0,2.4,3.3,238,NA,NA,2,0,0,0,0,0,0,50,269,269,98,-9.6,-2.2,1.92,-7.6
1985,1,4,2,-7.8,962.8,83,0,1,2.1,246,NA,NA,1,0,0,0,0,0,0,50,255,259,98,-10.2,-3.3,1.83,-8.4
1985,1,4,3,-8.4,961.9,85.6,0,0.5,1.5,219,NA,NA,0,0,0,0,0,0,0,50,251,251,98,-10.4,-4,1.8,-8.9
1985,1,4,4,-8.3,961.5,87.9,0,0.1,1.6,300,NA,NA,0,0,0,0,0,0,0,50,256,262,98,-9.9,-3.7,1.86,-8.7
1985,1,4,5,-7.3,961.2,87.9,0,0.2,1.5,276,NA,NA,0,0,0,0,0,0,0,50,270,271,98,-9,-2.4,2.02,-7.8
1985,1,4,6,-7,960.9,85.6,0,0.9,2.4,275,NA,8,0,0,0,0,0,0,0,50,272,272,98,-9,-2.1,2.01,-7.5
