time.yy,time.mm,time.dd,time.hh,tre200h0,prestahs,ure200h0,rre150h0,fkl010h0,fkl010h1,dkl010h0,tso100hs,nto000sw,gls,str.diffus,str.direkt,str.vert.E,str.vert.S,str.vert.W,str.vert.N,bodenalbedo,ir.horizontal,ir.vertikal.S,bodenemissivitaet,dewpt,enthalpy,mixratio,wetbulb
1988,1,1,0,5.3,966.5,92.8,0,0.3,1.9,135,NA,NA,1,0,0,0,0,0,0,14,310,317,94,4.2,18.7,5.35,4.8
1988,1,1,1,5,966.5,93.6,0,0.2,1.6,315,NA,NA,0,0,0,0,0,0,0,14,315,320,94,4.1,18.3,5.29,4.6
1988,1,1,2,4.8,966.6,94.4,0.1,0.1,0.8,90,NA,NA,0,0,0,0,0,0,0,14,318,321,94,4,18,5.26,4.4
1988,1,1,3,4.6,966.7,94.9,0.1,0.6,1.5,349,NA,NA,0,0,0,0,0,0,0,14,322,323,94,3.9,17.8,5.23,4.3
1988,1,1,4,4.6,966.8,95.1,0.1,0.5,1.6,11,NA,NA,0,0,0,0,0,0,0,14,324,324,94,3.9,17.7,5.23,4.3
1988,1,1,5,4.7,967.1,95.1,0.1,0.1,1.6,270,NA,NA,0,0,0,0,0,0,0,14,324,324,96,4,17.9,5.26,4.4
1988,1,1,6,4.8,967.4,95.1,0.2,0.2,1.6,270,NA,8,0,0,0,0,0,0,0,14,324,324,96,4.1,18,5.29,4.5
1988,1,1,7,4.9,967.8,95.2,0.6,0.5,1.9,256,NA,NA,0,0,0,0,0,0,0,14,323,324,96,4.2,18.2,5.33,4.6
1988,1,1,8,4.9,968.1,95.2,0.1,0.5,1.5,326,NA,NA,4,4,0,1,1,2,2,14,317,320,96,4.2,18.3,5.34,4.6
1988,1,1,9,5.3,968.5,95.6,0,0.3,2,342,NA,NA,25,25,0,10,9,12,13,14,320,322,96,4.7,19.2,5.52,5
1988,1,1,10,6,968.5,95.7,0,0.5,2.5,360,NA,NA,61,61,0,29,29,29,29,14,326,327,96,5.4,20.6,5.8,5.7
1988,1,1,11,7.3,968.5,96.7,0,0.2,1.4,45,NA,NA,144,130,39,75,153,62,59,14,331,334,96,6.8,23.5,6.41,7
1988,1,1,12,8.3,968.2,82.7,0,1.2,4.2,167,NA,6,218,151,191,81,376,120,73,14,324,335,96,5.5,23.1,5.87,6.9
1988,1,1,13,8.6,968.3,72,0,2.5,5.8,192,NA,NA,165,127,126,60,252,136,60,14,325,334,96,3.8,21.7,5.21,6.3
1988,1,1,14,8.9,968.5,65,0,3.8,6.9,193,NA,NA,202,110,415,58,476,353,58,14,287,318,96,2.7,21,4.79,6
1988,1,1,15,7.7,968.9,68.1,0,3.6,6.4,205,NA,NA,57,40,164,23,166,178,23,14,282,308,96,2.2,19.4,4.63,5.2
1988,1,1,16,6.8,969.3,74.6,0,2.5,5.5,192,NA,NA,0,0,0,0,0,0,0,14,281,304,96,2.6,18.8,4.76,4.9
1988,1,1,17,6,969.3,79.9,0,2,3.9,195,NA,NA,0,0,0,0,0,0,0,14,267,295,96,2.8,18.1,4.83,4.5
1988,1,1,18,5.4,969.4,86.7,0,1.7,3.4,230,NA,6,0,0,0,0,0,0,0,14,270,296,96,3.4,18,5.03,4.5
1988,1,1,19,5.4,969.2,89.3,0,2.4,4.9,234,NA,NA,0,0,0,0,0,0,0,14,268,296,96,3.8,18.4,5.18,4.7
1988,1,1,20,5.3,969.1,89.3,0,1.4,3,225,NA,NA,0,0,0,0,0,0,0,14,317,318,96,3.7,18.2,5.15,4.6
1988,1,1,21,5.2,968.7,87.6,0,2.8,4.3,231,NA,NA,0,0,0,0,0,0,0,14,319,319,96,3.3,17.8,5.01,4.3
1988,1,1,22,5.4,969,85.8,0,3.1,4.7,229,NA,NA,0,0,0,0,0,0,0,14,318,320,96,3.2,17.9,4.98,4.4
1988,1,1,23,5.6,968.6,85.4,0,1.6,3,215,NA,NA,0,0,0,0,0,0,0,14,304,314,96,3.3,18.2,5.03,4.5
1988,1,2,0,5.8,968.5,84.1,0,1.4,4.4,219,NA,NA,0,0,0,0,0,0,0,14,305,315,96,3.3,18.4,5.02,4.6
1988,1,2,1,6.1,968.6,80.4,0,3.6,6.1,217,NA,NA,0,0,0,0,0,0,0,14,305,316,96,3,18.4,4.9,4.7
1988,1,2,2,6.2,968.3,77.8,0,3.8,6.8,235,NA,NA,0,0,0,0,0,0,0,14,313,320,96,2.6,18.2,4.77,4.6
1988,1,2,3,6,967.7,79.6,0,3.9,5.8,236,NA,NA,1,0,0,0,0,0,0,14,313,320,96,2.7,18.1,4.82,4.5
1988,1,2,4,6.1,967.2,79.2,0,3.2,5.4,220,NA,NA,0,0,0,0,0,0,0,14,313,320,96,2.8,18.3,4.83,4.6
1988,1,2,5,6.5,966.7,75.6,0,3.2,5.5,210,NA,NA,0,0,0,0,0,0,0,14,332,332,94,2.5,18.4,4.74,4.7
1988,1,2,6,6.8,966.6,71.7,0,4,6.5,232,NA,8,2,0,0,0,0,0,0,14,334,334,94,2.1,18.4,4.59,4.7
