time.yy,time.mm,time.dd,time.hh,tre200h0,prestahs,ure200h0,rre150h0,fkl010h0,fkl010h1,dkl010h0,tso100hs,nto000sw,gls,str.diffus,str.direkt,str.vert.E,str.vert.S,str.vert.W,str.vert.N,bodenalbedo,ir.horizontal,ir.vertikal.S,bodenemissivitaet,dewpt,enthalpy,mixratio,wetbulb
2003,1,1,0,2.7,962.4,84.5,0,0.1,1,225,NA,NA,0,0,0,0,0,0,0,14,280,295,96,0.3,13.6,4.35,1.8
2003,1,1,1,3.9,964.3,88.2,0,0.4,1.4,288,NA,NA,0,0,0,0,0,0,0,14,282,298,96,2.1,16.1,4.85,3.2
2003,1,1,2,4.7,965.7,90.7,0,0.5,1.4,326,NA,NA,0,0,0,0,0,0,0,14,281,299,96,3.3,17.7,5.17,4.1
2003,1,1,3,5.5,966.9,93,0,0.5,1.6,259,NA,NA,0,0,0,0,0,0,0,14,283,302,96,4.4,19.3,5.51,5
2003,1,1,4,5.9,967.6,94.3,0,0.6,1.9,292,NA,NA,1,0,0,0,0,0,0,14,285,304,96,5,20.1,5.66,5.5
2003,1,1,5,5.8,967.5,94.4,0,0.4,1.4,243,NA,NA,0,0,0,0,0,0,0,14,283,303,96,4.9,20,5.64,5.4
2003,1,1,6,5.7,967.5,94.7,0,0.6,2.3,180,NA,3,0,0,0,0,0,0,0,14,281,301,96,4.9,19.8,5.61,5.3
2003,1,1,7,5.9,967.4,93.9,0,0.5,1.2,108,NA,NA,4,0,0,0,0,0,0,14,284,304,96,4.9,20.1,5.64,5.4
2003,1,1,8,5.9,967.1,93.5,0,0.4,1.5,243,NA,NA,64,37,250,242,227,24,25,14,292,307,96,4.9,20.1,5.63,5.4
2003,1,1,9,7.2,967.1,88.5,0,1.5,3.3,266,NA,NA,180,53,562,397,550,46,46,14,296,319,96,5.4,21.9,5.83,6.3
2003,1,1,10,8,966.7,82.6,0,3.8,7.3,251,NA,NA,259,98,522,286,624,66,66,14,299,323,96,5.2,22.5,5.75,6.6
2003,1,1,11,7.6,966,83.1,0,5.7,9.1,246,NA,NA,229,143,247,123,420,79,72,14,297,316,94,4.9,21.8,5.63,6.3
2003,1,1,12,8.1,965,82.2,0,5.2,7.9,259,NA,6,291,108,523,76,662,155,70,14,300,318,94,5.3,22.7,5.77,6.7
2003,1,1,13,8.5,964.5,78.3,0,5.5,8.5,254,NA,NA,245,89,513,63,603,280,63,14,300,320,94,4.9,22.8,5.65,6.7
2003,1,1,14,8.5,964.1,78.1,0,5.3,7.8,260,NA,NA,99,86,56,41,134,106,41,14,282,309,94,4.9,22.7,5.64,6.7
2003,1,1,15,8.1,963.8,81.3,0.1,6,7.9,251,NA,NA,16,16,0,8,6,6,8,14,282,307,94,5.1,22.5,5.72,6.6
2003,1,1,16,7.9,964,82.6,0.1,5.7,9.4,258,NA,NA,0,0,0,0,0,0,0,14,281,305,94,5.1,22.3,5.73,6.5
2003,1,1,17,8.1,963.5,81,0.1,4.9,9.2,261,NA,NA,0,0,0,0,0,0,0,14,308,322,96,5,22.5,5.7,6.6
2003,1,1,18,8.6,963.8,75.9,0,7,10.8,262,NA,8,1,0,0,0,0,0,0,14,308,323,96,4.6,22.5,5.52,6.6
