station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
GVESTA,2012,1,1,0,7.6,84.2,8.8,5.1,5.65,6.4,21.8,0,978,304,0.8,2.2,0,0,0,0,0,0,0,338,100,26,97
GVESTA,2012,1,1,1,7.9,82.4,8.8,5.1,5.65,6.5,22.1,0,978.2,288,0.8,2.5,0,0,0,0,0,0,0,326,69,26,97
GVESTA,2012,1,1,2,7.7,83.6,8.8,5.1,5.65,6.4,21.9,0,978.2,252,1.1,2.8,0,0,0,0,0,0,0,304,26,26,97
GVESTA,2012,1,1,3,7.4,84.7,8.7,5,5.58,6.2,21.5,0,977.9,242,1.5,2.9,0,0,0,0,0,0,0,298,29,26,97
GVESTA,2012,1,1,4,7.6,83.6,8.7,5,5.58,6.3,21.7,0,977.9,207,0.6,1.3,0,0,0,0,0,0,0,305,36,26,97
GVESTA,2012,1,1,5,7.3,83,8.5,4.6,5.45,6,21,0,978.2,259,0.6,2.3,0,0,0,0,0,0,0,302,41,26,97
GVESTA,2012,1,1,6,7.6,83.6,8.7,5,5.58,6.3,21.7,0,978.5,252,0.6,1.4,0,0,0,0,0,0,0,326,71,26,97
GVESTA,2012,1,1,7,7.9,84.8,9,5.5,5.77,6.7,22.4,0.1,978.9,0,0.5,2.4,1,0,1,1,1,1,1,340,88,26,97
GVESTA,2012,1,1,8,8.5,84.8,9.4,6.1,6.03,7.3,23.7,0,979.2,360,0.7,2.3,21,0,21,13,13,13,13,338,94,26,97
GVESTA,2012,1,1,9,9.1,83.8,9.7,6.5,6.22,7.8,24.8,0.1,979.2,225,0.9,3.7,47,2,46,28,29,30,28,344,100,26,97
GVESTA,2012,1,1,10,9.8,84.4,10.2,7.3,6.55,8.5,26.3,0,978.7,225,1.2,3,116,8,113,69,72,76,69,346,100,26,97
GVESTA,2012,1,1,11,10.4,85.1,10.7,8,6.88,9.1,27.8,0,977.8,217,2.6,5.1,214,233,132,81,81,320,114,342,84,26,97
GVESTA,2012,1,1,12,11.1,81.2,10.7,8,6.89,9.4,28.5,0,977,225,2.4,4.3,197,216,123,74,73,296,132,327,78,26,97
GVESTA,2012,1,1,13,11.4,80.1,10.8,8.1,6.96,9.6,29,0,976.4,238,2.7,4.6,111,47,97,59,58,103,81,339,88,26,97
GVESTA,2012,1,1,14,11.9,78.1,10.9,8.2,7.02,9.9,29.7,0,976.3,242,2,4.4,59,30,53,32,32,57,52,338,88,26,97
GVESTA,2012,1,1,15,11.9,77.5,10.8,8.1,6.96,9.9,29.5,0,976.3,274,1.5,3.9,4,0,4,3,3,3,3,340,88,26,97
GVESTA,2012,1,1,16,11,80.1,10.5,7.7,6.76,9.3,28.1,0,976.1,281,1.6,3.4,0,0,0,0,0,0,0,330,75,26,97
GVESTA,2012,1,1,17,10.2,79.4,9.9,6.8,6.37,8.4,26.3,0,976.4,274,1.4,3.6,0,0,0,0,0,0,0,335,94,26,97
GVESTA,2012,1,1,18,9.7,81.6,9.8,6.7,6.31,8.2,25.6,0,976.1,288,0.9,2.6,0,0,0,0,0,0,0,340,100,26,97
GVESTA,2012,1,1,19,9.6,82.1,9.8,6.7,6.31,8.1,25.5,0,975.9,249,1.5,2.6,0,0,0,0,0,0,0,340,100,26,97
GVESTA,2012,1,1,20,9,82.6,9.5,6.2,6.12,7.6,24.4,0,975.2,225,1.3,2.8,0,0,0,0,0,0,0,339,100,26,97
GVESTA,2012,1,1,21,7.8,86,9.1,5.6,5.86,6.7,22.6,0,974.6,240,1.6,3.1,0,0,0,0,0,0,0,338,100,26,97
GVESTA,2012,1,1,22,8,84.2,9,5.5,5.8,6.8,22.6,0,973.9,225,0.8,2,0,0,0,0,0,0,0,337,100,26,97
GVESTA,2012,1,1,23,8.2,83.1,9,5.5,5.81,6.9,22.8,0,973.2,245,3.1,6.8,0,0,0,0,0,0,0,336,100,26,97
GVESTA,2012,1,2,0,8.3,82.5,9,5.5,5.81,6.9,22.9,0,972.7,257,3.5,7,0,0,0,0,0,0,0,336,100,26,97
GVESTA,2012,1,2,1,7.6,84.2,8.8,5.1,5.68,6.4,21.9,0,972.4,267,2,4.5,0,0,0,0,0,0,0,336,100,26,97
GVESTA,2012,1,2,2,7.3,81.2,8.3,4.3,5.36,5.9,20.8,0,972.1,248,2.4,5.9,0,0,0,0,0,0,0,332,88,26,97
GVESTA,2012,1,2,3,7.6,80.7,8.4,4.5,5.43,6.1,21.3,0,971.4,239,2.7,5.9,0,0,0,0,0,0,0,336,100,26,97
GVESTA,2012,1,2,4,9.9,72,8.8,5.1,5.69,7.5,24.3,0,970.7,227,4.9,9.7,0,0,0,0,0,0,0,336,100,26,97
GVESTA,2012,1,2,5,9.6,76.1,9.1,5.6,5.89,7.6,24.5,0,970.4,211,5.9,10.5,0,0,0,0,0,0,0,336,100,26,97
GVESTA,2012,1,2,6,9.5,78.2,9.3,5.9,6.02,7.7,24.7,0,970.3,224,5.1,8.3,0,0,0,0,0,0,0,336,100,26,97
GVESTA,2012,1,2,7,9.6,80.4,9.6,6.4,6.21,8,25.3,0.1,970.4,202,5.7,9.5,1,0,1,1,1,1,1,337,100,26,97
GVESTA,2012,1,2,8,9.5,86.1,10.2,7.3,6.6,8.4,26.2,0.7,971,209,5.6,8.7,6,0,6,4,4,4,4,337,100,26,97
GVESTA,2012,1,2,9,9.6,86.1,10.3,7.4,6.67,8.5,26.4,1.3,971.5,215,5.9,11,17,0,17,10,10,10,10,337,100,26,97
GVESTA,2012,1,2,10,9.5,87.9,10.4,7.6,6.73,8.5,26.5,4.6,972.2,217,6.5,10.9,22,0,22,13,13,13,13,337,100,26,97
GVESTA,2012,1,2,11,8.9,80.9,9.2,5.8,5.94,7.3,23.9,1.7,971.9,232,5.1,10.7,18,0,18,11,11,11,11,337,100,26,97
GVESTA,2012,1,2,12,8.6,78.1,8.7,5,5.61,6.8,22.8,0.3,972.8,196,3.8,7.8,16,0,16,10,10,10,10,336,100,26,97
GVESTA,2012,1,2,13,8.4,75.4,8.3,4.3,5.35,6.4,21.9,0.1,974.1,217,4.1,7.3,13,0,13,8,8,8,8,335,100,26,97
GVESTA,2012,1,2,14,7.7,80.1,8.4,4.5,5.41,6.2,21.3,0.2,975,201,3.6,7.2,8,0,8,5,5,5,5,333,100,26,97
GVESTA,2012,1,2,15,7.6,79.6,8.3,4.3,5.34,6,21,0.1,975.6,198,4.3,7.6,1,0,1,1,1,1,1,331,100,26,97
GVESTA,2012,1,2,16,7.4,78.4,8.1,3.9,5.2,5.7,20.5,0,976.2,232,2.3,5.2,0,0,0,0,0,0,0,330,100,26,97
GVESTA,2012,1,2,17,6.9,80.6,8,3.8,5.14,5.4,19.8,0,976.6,229,3.5,8.2,0,0,0,0,0,0,0,328,100,26,97
GVESTA,2012,1,2,18,7.3,74.1,7.6,3,4.87,5.3,19.6,0,977.4,216,4.1,8.4,0,0,0,0,0,0,0,313,66,26,97
