station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
INT,2011,1,1,0,-4.3,92.2,4.1,-5.4,2.72,-4.6,2.5,0,947.9,218,1.6,2.3,0,0,0,0,0,0,0,210,0,39,97
INT,2011,1,1,1,-4.1,95.1,4.3,-4.8,2.84,-4.3,3,0,949.8,211,2.1,2.9,0,0,0,0,0,0,0,210,0,39,97
INT,2011,1,1,2,-4,97.2,4.4,-4.4,2.9,-4.1,3.2,0,951.2,210,1.6,2.5,0,0,0,0,0,0,0,211,0,39,97
INT,2011,1,1,3,-3.9,99.1,4.5,-4,2.97,-3.9,3.4,0,952.6,209,2.3,2.9,0,0,0,0,0,0,0,211,0,39,97
INT,2011,1,1,4,-3.9,100,4.6,-3.9,2.98,-3.9,3.5,0,953.3,207,2.5,3.4,0,0,0,0,0,0,0,213,6,39,97
INT,2011,1,1,5,-3.9,100,4.5,-3.9,2.98,-3.9,3.5,0,953.3,212,2.3,3.6,0,0,0,0,0,0,0,213,13,39,97
INT,2011,1,1,6,-3.9,100,4.5,-3.9,2.97,-3.9,3.4,0,953.5,210,2,3.3,0,0,0,0,0,0,0,213,13,39,97
INT,2011,1,1,7,-3.7,100,4.6,-3.7,3.03,-3.7,3.8,0,953.5,204,2.7,3.9,12,0,12,11,11,11,11,218,6,39,97
INT,2011,1,1,8,-3.5,100,4.7,-3.5,3.08,-3.5,4.1,0,953.6,212,2,3.2,46,0,46,52,52,52,51,222,19,39,97
INT,2011,1,1,9,-3.3,100,4.8,-3.3,3.15,-3.3,4.5,0,953.5,225,1.5,2.5,165,196,109,83,179,272,83,221,6,39,97
INT,2011,1,1,10,-2.3,96.5,5,-2.8,3.28,-2.5,5.8,0,953.1,204,1,2.2,287,473,133,100,259,583,100,222,6,39,97
INT,2011,1,1,11,-1.5,100,5.5,-1.5,3.61,-1.5,7.5,0,952.7,108,1,1.7,347,672,115,103,145,791,159,224,25,39,97
INT,2011,1,1,12,-1.8,98,5.3,-2.1,3.48,-1.9,6.9,0,951.9,200,1.5,2.6,364,808,103,99,103,903,357,225,0,39,97
INT,2011,1,1,13,-2,95.4,5,-2.6,3.29,-2.2,6.2,0,951.3,194,1.6,3.3,252,669,77,73,75,681,417,225,0,39,97
INT,2011,1,1,14,-1.9,97.4,5.2,-2.3,3.42,-2,6.6,0,951.2,201,1.7,3,96,255,48,45,45,254,213,226,0,39,97
INT,2011,1,1,15,-3.4,99,4.7,-3.5,3.09,-3.4,4.3,0,951.1,219,1.4,2.3,11,0,11,8,8,8,8,226,0,39,97
INT,2011,1,1,16,-3.8,99.2,4.6,-3.9,3.02,-3.8,3.7,0,951,216,0.9,2.2,0,0,0,0,0,0,0,226,0,39,97
INT,2011,1,1,17,-3.6,100,4.7,-3.6,3.09,-3.6,4.1,0,951.2,210,1.4,2.3,0,0,0,0,0,0,0,224,0,39,97
INT,2011,1,1,18,-2.9,100,5,-2.9,3.29,-2.9,5.3,0,951.5,210,2.2,3,0,0,0,0,0,0,0,222,0,39,97
INT,2011,1,1,19,-2.8,100,5,-2.8,3.29,-2.8,5.4,0,951.3,197,1,1.9,0,0,0,0,0,0,0,222,0,39,97
INT,2011,1,1,20,-2.6,100,5.1,-2.6,3.35,-2.6,5.7,0,951.4,206,2.8,5,0,0,0,0,0,0,0,221,13,39,97
INT,2011,1,1,21,-2.9,99,4.9,-3,3.22,-2.9,5.1,0,951,205,2.9,4.6,0,0,0,0,0,0,0,220,0,39,97
INT,2011,1,1,22,-3.8,99.1,4.6,-3.9,3.02,-3.8,3.7,0,950.5,214,2.3,3.4,0,0,0,0,0,0,0,219,6,39,97
INT,2011,1,1,23,-3.8,98.8,4.6,-4,3.03,-3.9,3.7,0,949.7,225,1.4,3.6,0,0,0,0,0,0,0,218,19,39,97
INT,2011,1,2,0,-4,97.9,4.5,-4.3,2.96,-4.1,3.3,0,949.9,228,1.4,3.2,0,0,0,0,0,0,0,242,100,38,97
INT,2011,1,2,1,-2.2,100,5.2,-2.2,3.42,-2.2,6.3,0,950.6,121,1.8,4.3,0,0,0,0,0,0,0,242,100,38,97
INT,2011,1,2,2,-2.8,98.3,4.9,-3,3.22,-2.9,5.2,0,950,205,3.1,4.4,0,0,0,0,0,0,0,241,100,38,97
INT,2011,1,2,3,-2.4,96.7,5,-2.9,3.29,-2.6,5.8,0,950.3,222,1.6,3.7,0,0,0,0,0,0,0,240,100,38,97
INT,2011,1,2,4,-2.4,96,4.9,-2.9,3.22,-2.6,5.6,0,950.6,217,0.7,2.1,0,0,0,0,0,0,0,240,100,38,97
INT,2011,1,2,5,-2.5,96.7,4.9,-3,3.22,-2.7,5.5,0,950.7,204,2.2,4.2,0,0,0,0,0,0,0,239,100,38,97
INT,2011,1,2,6,-2.1,92.3,4.9,-3.2,3.22,-2.5,5.9,0,950.2,190,2.4,5.3,0,0,0,0,0,0,0,238,100,38,97
INT,2011,1,2,7,-1.8,93,5,-2.8,3.29,-2.2,6.4,0,950.7,180,1,2,13,0,13,12,12,12,12,237,100,38,97
INT,2011,1,2,8,-1.7,90.2,4.9,-3.1,3.22,-2.2,6.3,0,951.1,195,2,4.5,20,0,20,17,17,17,17,229,100,38,97
INT,2011,1,2,9,-1.4,84.7,4.7,-3.6,3.09,-2.2,6.3,0,951.5,196,1.9,3.4,24,0,24,15,15,15,16,234,100,38,97
INT,2011,1,2,10,-0.9,81.8,4.7,-3.6,3.09,-1.9,6.8,0,951.3,196,1.8,3.7,31,0,31,20,19,19,20,233,100,38,97
INT,2011,1,2,11,-0.5,78.7,4.6,-3.7,3.02,-1.7,7,0,951,198,2.2,3.1,33,0,33,21,20,20,21,231,100,38,97
INT,2011,1,2,12,-0.3,79,4.7,-3.5,3.09,-1.5,7.4,0,950.8,198,1.6,2.9,30,0,30,19,18,18,19,230,100,38,97
INT,2011,1,2,13,-0.2,79.2,4.8,-3.4,3.16,-1.4,7.7,0,950.7,203,1.5,2.6,23,0,23,15,14,14,15,228,100,38,97
INT,2011,1,2,14,0,81.2,5,-2.8,3.29,-1,8.2,0,950.9,211,0.7,1.5,12,0,12,8,8,8,8,227,100,38,97
INT,2011,1,2,15,-0.1,82.4,5,-2.7,3.29,-1.1,8.1,0,951.3,221,0.9,1.6,2,0,2,1,1,1,1,225,100,38,97
INT,2011,1,2,16,-0.3,86.1,5.2,-2.3,3.42,-1.1,8.2,0,951.6,225,0.8,1.5,0,0,0,0,0,0,0,223,100,38,97
INT,2011,1,2,17,-0.5,89.2,5.3,-2.1,3.48,-1.1,8.2,0,951.8,220,0.8,1.7,0,0,0,0,0,0,0,222,100,38,97
INT,2011,1,2,18,-0.6,91.8,5.4,-1.8,3.55,-1.1,8.2,0,952,215,1.3,2.8,0,0,0,0,0,0,0,220,100,38,97
INT,2011,1,2,19,-0.9,98.3,5.7,-1.1,3.75,-1,8.4,0,952.2,207,1.8,3,0,0,0,0,0,0,0,217,100,38,97
INT,2011,1,2,20,-0.8,96.3,5.6,-1.3,3.68,-1,8.4,0,952.5,196,1.8,3.3,0,0,0,0,0,0,0,214,100,38,97
INT,2011,1,2,21,-0.8,95.2,5.5,-1.5,3.61,-1.1,8.2,0,952.6,189,1.2,3.2,0,0,0,0,0,0,0,212,100,38,97
INT,2011,1,2,22,-0.8,86.4,5,-2.8,3.28,-1.5,7.4,0,952.9,180,0.8,2.7,0,0,0,0,0,0,0,209,100,38,97
INT,2011,1,2,23,-1.1,85.4,4.8,-3.2,3.15,-1.9,6.7,0,952.8,186,2,4.6,0,0,0,0,0,0,0,206,100,38,97
INT,2011,1,3,0,-1.3,80,4.4,-4.3,2.89,-2.4,5.9,0,952.6,212,1.9,3.3,0,0,0,0,0,0,0,194,41,37,97
INT,2011,1,3,1,-1.7,80.1,4.3,-4.7,2.82,-2.7,5.3,0,952.7,219,1.4,2.5,0,0,0,0,0,0,0,191,34,37,97
INT,2011,1,3,2,-1.9,82,4.4,-4.6,2.89,-2.8,5.3,0,952.9,214,1.5,2.6,0,0,0,0,0,0,0,189,43,37,97
INT,2011,1,3,3,-1.9,77.5,4.1,-5.3,2.69,-3,4.8,0,952.9,213,1.8,3.2,0,0,0,0,0,0,0,187,34,37,97
INT,2011,1,3,4,-1.8,77.1,4.1,-5.3,2.69,-3,4.9,0,953,201,1.1,2.7,0,0,0,0,0,0,0,185,60,37,97
INT,2011,1,3,5,-1.8,73.1,3.9,-6,2.56,-3.2,4.5,0,953,207,1.6,3.4,0,0,0,0,0,0,0,184,43,37,97
INT,2011,1,3,6,-1.9,69.7,3.7,-6.7,2.42,-3.5,4.1,0,953,191,1.7,3.3,0,0,0,0,0,0,0,186,26,37,97
INT,2011,1,3,7,-2.9,72,3.6,-7.2,2.36,-4.2,2.9,0,953.1,185,3.5,6.1,13,0,13,12,12,12,12,189,0,37,97
INT,2011,1,3,8,-4.3,74.8,3.3,-8.1,2.16,-5.4,1,0,952.9,200,4.2,5.9,58,0,58,53,53,53,54,192,25,37,97
INT,2011,1,3,9,-4.2,73.6,3.3,-8.2,2.16,-5.4,1.1,0,953.2,191,3.2,6,152,131,114,83,148,211,84,196,33,37,97
INT,2011,1,3,10,-3.5,72.6,3.4,-7.7,2.23,-4.8,2,0,953.2,203,2.8,4.5,311,582,118,96,270,681,96,198,10,37,97
INT,2011,1,3,11,-3.1,69.5,3.4,-7.9,2.23,-4.6,2.4,0,952.5,198,2.9,4.4,406,865,105,104,164,985,165,200,6,37,97
INT,2011,1,3,12,-2.9,69.4,3.4,-7.7,2.23,-4.4,2.6,0,951.8,206,2.6,3.8,371,844,96,95,99,929,357,201,0,37,97
