station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
LAUSTA,1998,1,1,0,5,67.1,5.8,-0.6,3.81,2.6,14.5,0,958.7,35,1.6,2.8,0,0,0,0,0,0,0,303,68,14,97
LAUSTA,1998,1,1,1,5.1,67.8,6,-0.4,3.89,2.8,14.9,0,958.9,23,1.5,2.8,0,0,0,0,0,0,0,310,88,14,97
LAUSTA,1998,1,1,2,5.2,68.5,6.1,-0.1,3.96,3,15.2,0,959.1,13,1.4,2.5,0,0,0,0,0,0,0,310,88,14,97
LAUSTA,1998,1,1,3,5.3,69.4,6.2,0.1,4.02,3.1,15.4,0,959.3,360,0.8,2.1,0,0,0,0,0,0,0,310,88,14,97
LAUSTA,1998,1,1,4,5.4,69.7,6.2,0.3,4.07,3.2,15.6,0,959.6,11,1.1,2.3,0,0,0,0,0,0,0,314,100,14,97
LAUSTA,1998,1,1,5,5.4,69.9,6.3,0.4,4.1,3.3,15.7,0,959.8,32,1,2.2,0,0,0,0,0,0,0,300,60,14,97
LAUSTA,1998,1,1,6,5.3,70.9,6.3,0.4,4.13,3.2,15.6,0,960,27,1.5,2.5,0,0,0,0,0,0,0,310,88,14,97
LAUSTA,1998,1,1,7,5.4,71.4,6.4,0.7,4.2,3.4,16,0,960.4,7,1.6,2.8,23,106,15,7,91,79,8,317,100,14,97
LAUSTA,1998,1,1,8,5.6,69.2,6.3,0.4,4.1,3.4,15.9,0,960.9,34,0.8,1.8,116,319,66,31,258,282,33,307,68,14,97
LAUSTA,1998,1,1,9,7.3,71.5,7.3,2.5,4.76,5.1,19.3,0,961.2,243,0.5,1.7,138,84,117,59,107,140,63,321,100,14,97
LAUSTA,1998,1,1,10,7.3,74.1,7.6,3,4.96,5.3,19.8,0,961.1,219,0.7,2.4,185,97,154,76,113,182,82,324,100,14,97
LAUSTA,1998,1,1,11,7.3,75.2,7.7,3.2,5.03,5.4,20,0,960.4,225,0.6,2,267,332,152,70,106,423,97,317,75,14,97
LAUSTA,1998,1,1,12,7.2,75.7,7.7,3.2,5.03,5.3,19.9,0,959.9,198,0.6,2.2,114,63,92,46,46,115,69,327,100,14,97
LAUSTA,1998,1,1,13,7.3,76.2,7.8,3.4,5.1,5.5,20.1,0,959.5,202,0.6,1.7,142,109,114,57,58,161,125,326,100,14,97
LAUSTA,1998,1,1,14,7.5,74.1,7.7,3.2,5.03,5.5,20.2,0,959.2,225,0.3,1.6,9,0,9,4,5,5,5,326,100,14,97
LAUSTA,1998,1,1,15,7.9,72.1,7.7,3.2,5.03,5.7,20.6,0,959.2,225,0.1,0.8,2,0,2,1,1,1,1,325,100,14,97
LAUSTA,1998,1,1,16,7.9,71.1,7.6,3,4.97,5.6,20.4,0,959,315,0.3,1.6,0,0,0,0,0,0,0,324,100,14,97
LAUSTA,1998,1,1,17,7.9,68.6,7.3,2.5,4.77,5.4,19.9,0,958.4,243,0.4,1.8,0,0,0,0,0,0,0,323,100,14,97
LAUSTA,1998,1,1,18,8,67.2,7.2,2.3,4.71,5.4,19.9,0,958.2,207,0.3,1.7,0,0,0,0,0,0,0,322,100,14,97
LAUSTA,1998,1,1,19,8,69.2,7.4,2.7,4.84,5.5,20.2,0,958,323,0.6,2.4,0,0,0,0,0,0,0,323,100,14,97
LAUSTA,1998,1,1,20,8.7,72.8,8.2,4.1,5.37,6.5,22.3,0.5,957.7,297,0.7,3.1,0,0,0,0,0,0,0,324,100,14,97
LAUSTA,1998,1,1,21,8.4,76.4,8.4,4.5,5.51,6.5,22.3,0.4,956.9,166,0.6,2.1,0,0,0,0,0,0,0,325,100,14,97
LAUSTA,1998,1,1,22,8.3,78.6,8.6,4.8,5.65,6.6,22.5,0.4,956,8,1.5,2.5,0,0,0,0,0,0,0,326,100,14,97
LAUSTA,1998,1,1,23,9.2,77.6,9,5.5,5.92,7.3,24.1,1.1,954.9,304,0.8,2.5,0,0,0,0,0,0,0,327,100,14,97
LAUSTA,1998,1,2,0,9.4,77.1,9.1,5.6,5.99,7.5,24.5,0.7,954.2,288,0.6,2.8,0,0,0,0,0,0,0,328,100,14,97
LAUSTA,1998,1,2,1,8.8,80.3,9.1,5.6,5.99,7.2,23.9,1.9,954,297,1.6,6.2,0,0,0,0,0,0,0,328,100,14,97
LAUSTA,1998,1,2,2,8.7,82.6,9.3,5.9,6.12,7.3,24.2,1.8,953.8,285,2.3,6.6,0,0,0,0,0,0,0,329,100,14,97
LAUSTA,1998,1,2,3,9,82,9.4,6.1,6.19,7.5,24.6,1.7,953.3,275,2.3,7,0,0,0,0,0,0,0,330,100,14,97
LAUSTA,1998,1,2,4,9.5,79.3,9.4,6.1,6.2,7.8,25.1,1.1,953,275,1.5,4.8,0,0,0,0,0,0,0,330,100,14,97
LAUSTA,1998,1,2,5,9.6,79.3,9.5,6.2,6.27,7.9,25.4,0,952.1,274,1.4,4.3,0,0,0,0,0,0,0,331,100,14,97
LAUSTA,1998,1,2,6,10,76.7,9.4,6.1,6.21,8,25.7,0.1,951.2,305,1.3,6.2,0,0,0,0,0,0,0,332,100,14,97
LAUSTA,1998,1,2,7,10.3,75.2,9.4,6.1,6.21,8.1,26,0.7,950.7,254,0.9,5,2,0,2,1,1,1,1,332,100,14,97
LAUSTA,1998,1,2,8,9.7,76.6,9.2,5.8,6.08,7.7,25.1,0.5,950.7,266,3,13.1,9,0,9,5,5,5,5,333,100,14,97
LAUSTA,1998,1,2,9,9.6,76.1,9.1,5.6,6.02,7.6,24.8,0,949.8,276,3.3,9.1,17,0,17,9,9,9,9,334,100,14,97
LAUSTA,1998,1,2,10,10.1,66.3,8.2,4.1,5.43,7.2,23.8,0.1,948.1,135,1.8,9.9,57,0,57,30,30,32,32,334,100,14,97
LAUSTA,1998,1,2,11,10.5,68.7,8.7,5,5.77,7.7,25.1,0,946.1,270,1.2,5.1,25,0,25,13,13,14,14,335,100,14,97
LAUSTA,1998,1,2,12,10.5,70.2,8.9,5.3,5.91,7.9,25.5,0,944.8,267,1.8,7.9,23,0,23,12,12,13,13,335,100,14,97
LAUSTA,1998,1,2,13,9.9,74.1,9,5.5,5.98,7.7,25,0.2,945.2,274,6.7,15.6,17,0,17,9,9,9,9,334,100,14,97
