time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,2.6,69.2,1.3,2.8,106,,0,0,0
2035,1,1,1,2.7,70.1,1.2,2.6,94,,0,0,0
2035,1,1,2,2.7,71.2,1.2,2.5,79,,0,0,0
2035,1,1,3,2.8,72.1,1.1,2.4,82,,0,0,0
2035,1,1,4,3,73.7,1.1,2.2,54,,0,0,0
2035,1,1,5,3,74.7,1,2.2,50,,0,0,0
2035,1,1,6,3.1,75.8,0.9,2.1,40,,0,0,0
2035,1,1,7,3.1,75,0.7,2.1,43,,5,0,0
2035,1,1,8,3.1,74,0.5,1.7,27,,35,35,0
2035,1,1,9,3.3,73.6,0.5,2.8,169,,97,86,48
2035,1,1,10,3.9,70.8,1.8,4.8,142,,218,108,357
2035,1,1,11,4.5,70.1,1.4,4.5,163,,267,83,534
2035,1,1,12,4.8,70.5,1.9,5.5,174,,259,120,404
2035,1,1,13,4.8,75.4,0.9,3,193,,130,116,48
2035,1,1,14,4.7,76.8,0.9,2.3,186,,71,71,1
2035,1,1,15,4.8,75.9,0.5,1.8,202,,40,34,64
2035,1,1,16,4.6,76.3,0.6,1.5,189,,1,0,0
2035,1,1,17,4.7,75.5,0.9,1.9,193,,1,0,0
2035,1,1,18,4.6,73.1,1.1,2,10,,0,0,0
2035,1,1,19,4.7,73.1,1.3,2.1,4,,0,0,0
2035,1,1,20,4.7,73.4,1,2.3,17,,0,0,0
2035,1,1,21,4.7,74.9,1,2.1,333,,0,0,0
2035,1,1,22,4.5,77.2,1.2,2.1,355,,0,0,0
2035,1,1,23,3.9,81.4,1.7,3.3,13,,0,0,0
2035,1,2,0,3.4,83.8,1.2,2.4,9,,0,0,0
2035,1,2,1,3.1,84.8,1.6,2.6,14,,0,0,0
2035,1,2,2,3.6,83.1,1.4,2.7,12,,0,0,0
2035,1,2,3,4.3,80,0.9,1.9,333,,0,0,0
2035,1,2,4,4.2,81.3,1,2,16,,0,0,0
2035,1,2,5,4.3,82.1,0.4,1.3,270,,0,0,0
2035,1,2,6,3.7,84.1,1.4,3.3,360,,0,0,0
2035,1,2,7,3.3,85.4,1.5,3.6,360,,3,0,0
2035,1,2,8,4.2,80.8,0.8,3.1,338,,86,46,360
2035,1,2,9,4.7,77.1,1.4,3.7,162,,183,66,516
2035,1,2,10,4.8,74.4,1.1,3.7,191,,248,65,598
2035,1,2,11,5.2,74.1,1.1,3,198,,277,73,587
2035,1,2,12,5.9,72.6,1.2,3.6,194,,287,96,557
2035,1,2,13,6,72.7,0.9,3.4,207,,196,114,271
2035,1,2,14,6.2,71.5,1.3,4,219,,153,64,412
2035,1,2,15,5.9,75.7,0.8,3.1,243,,43,36,78
2035,1,2,16,5.3,80,1.1,4.6,17,,3,0,0
2035,1,2,17,4.7,81.4,1.2,3.5,355,,0,0,0
2035,1,2,18,4.2,82.4,1.7,3.7,4,,0,0,0
2035,1,2,19,4.2,81.8,2.1,4.7,17,,0,0,0
2035,1,2,20,4.5,79,1.7,3.5,14,,0,0,0
2035,1,2,21,4.7,76.9,1.1,2.8,10,,0,0,0
2035,1,2,22,4.9,77.5,0.7,1.8,8,,0,0,0
2035,1,2,23,4.9,79.5,0.3,1.7,360,,0,0,0
