station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
PAY,2013,1,1,0,4.7,82.9,7.3,1.9,4.77,3.3,16.7,0,959.3,162,0.5,1.3,0,0,0,0,0,0,0,278,100,31,97
PAY,2013,1,1,1,2.7,86,6.6,0.4,4.28,1.6,13.5,0,957.8,225,0.3,1.3,0,0,0,0,0,0,0,281,100,31,97
PAY,2013,1,1,2,1.6,87.6,6.1,-0.4,3.98,0.6,11.5,0,956.7,270,0.2,1.1,0,0,0,0,0,0,0,284,100,31,97
PAY,2013,1,1,3,0.6,88.2,5.6,-1.3,3.67,-0.2,9.7,0,955.6,90,0.5,1.9,0,0,0,0,0,0,0,286,100,31,97
PAY,2013,1,1,4,0.2,87.8,5.4,-1.6,3.56,-0.5,9.1,0,954.9,101,0.8,2.3,0,0,0,0,0,0,0,289,100,31,97
PAY,2013,1,1,5,1.1,84,5.5,-1.4,3.6,0.1,10.1,0,954.8,117,0.6,1.9,0,0,0,0,0,0,0,291,100,31,97
PAY,2013,1,1,6,2.1,79.1,5.6,-1.3,3.65,0.7,11.2,0,954.7,222,1.4,6.6,0,0,0,0,0,0,0,294,100,31,97
PAY,2013,1,1,7,3.4,72.2,5.6,-1.2,3.67,1.5,12.6,0,954.8,249,2.3,5.2,12,44,9,6,40,36,6,299,94,31,97
PAY,2013,1,1,8,5.3,63.8,5.7,-1,3.73,2.7,14.7,0,955,234,3.6,8.9,62,35,57,37,62,63,37,302,100,31,97
PAY,2013,1,1,9,5.8,61.6,5.7,-1,3.73,3,15.2,0,955.2,234,3.2,7,43,1,42,27,28,28,27,305,100,31,97
PAY,2013,1,1,10,6.4,64.5,6.2,0.2,4.06,3.7,16.6,0,955.4,241,5.7,13.7,22,0,22,14,14,14,14,310,100,31,97
PAY,2013,1,1,11,6,74.5,7,1.8,4.59,4.1,17.5,0,955.3,232,5.7,10.9,17,0,17,11,11,11,11,314,100,31,97
PAY,2013,1,1,12,5.8,82,7.6,3,4.99,4.5,18.3,0.3,955.4,226,5,10.7,16,0,16,10,10,10,10,316,100,31,97
PAY,2013,1,1,13,5.7,87.1,8,3.7,5.25,4.8,18.9,0.4,955.6,217,4.5,8.9,16,0,16,10,10,10,10,316,100,31,97
PAY,2013,1,1,14,5.3,87.1,7.8,3.3,5.12,4.4,18.2,0.9,955.9,213,4.2,8.8,8,0,8,5,5,5,5,316,100,31,97
