station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
PLF,1998,1,1,0,5.2,63.8,5.6,-1.3,3.91,2.4,15,0,901.5,117,3.5,5.3,0,0,0,0,0,0,0,239,13,65,97
PLF,1998,1,1,1,3.8,67.1,5.4,-1.8,3.76,1.4,13.3,0,899.6,112,3.7,5.9,0,0,0,0,0,0,0,244,25,65,97
PLF,1998,1,1,2,2.9,70,5.3,-2.1,3.69,0.8,12.1,0,898.3,117,3.6,5.8,0,0,0,0,0,0,0,272,100,65,97
PLF,1998,1,1,3,2.1,72,5.1,-2.5,3.58,0.3,11,0,897.1,122,4.1,6.6,0,0,0,0,0,0,0,253,50,65,97
PLF,1998,1,1,4,1.7,73.1,5.1,-2.6,3.53,0,10.5,0,896.6,117,3.5,5.5,0,0,0,0,0,0,0,239,13,65,97
PLF,1998,1,1,5,1.8,74.3,5.2,-2.3,3.61,0.1,10.8,0,896.8,117,2.7,5.9,0,0,0,0,0,0,0,244,25,65,97
PLF,1998,1,1,6,1.8,76.2,5.3,-2,3.69,0.3,11,0,897,121,2.6,5.5,0,0,0,0,0,0,0,240,13,65,97
PLF,1998,1,1,7,1.9,76.4,5.4,-1.8,3.75,0.4,11.3,0,897.3,124,4.6,6.9,21,0,21,22,22,22,22,257,50,65,97
PLF,1998,1,1,8,2.3,76.1,5.5,-1.5,3.83,0.7,11.9,0,897.6,128,2.9,5.5,119,247,78,70,244,270,70,278,100,65,97
PLF,1998,1,1,9,3.1,73.1,5.6,-1.2,3.9,1.3,12.9,0,897.7,123,2.8,6.1,192,223,133,117,241,331,117,271,75,65,97
PLF,1998,1,1,10,4.1,73.3,6,-0.2,4.19,2.2,14.6,0,897.5,248,0.8,4.2,261,320,158,144,262,477,145,271,68,65,97
PLF,1998,1,1,11,3.9,68.5,5.5,-1.4,3.84,1.7,13.5,0,897.5,286,1.8,4.4,254,216,179,157,178,390,180,286,100,65,97
PLF,1998,1,1,12,4.4,66.3,5.6,-1.3,3.91,2,14.2,0,896.9,219,1.3,3.5,258,319,155,142,144,474,255,275,68,65,97
PLF,1998,1,1,13,5.3,70,6.2,0.3,4.33,3.1,16.2,0,896.4,139,1.9,4.1,186,226,128,113,113,326,242,270,58,65,97
PLF,1998,1,1,14,5.3,70.3,6.3,0.3,4.4,3.1,16.4,0,896,207,0.8,2.2,111,256,72,65,65,267,248,286,100,65,97
PLF,1998,1,1,15,4.1,72.1,5.9,-0.5,4.12,2.1,14.4,0,896.1,291,1.1,3.7,26,109,19,16,16,88,103,285,100,65,97
PLF,1998,1,1,16,3.7,74.7,6,-0.4,4.19,1.9,14.2,0,895.9,171,1.4,3.2,0,0,0,0,0,0,0,277,80,65,97
PLF,1998,1,1,17,5,67.6,5.9,-0.5,4.13,2.6,15.4,0,895.5,233,2.3,6.1,0,0,0,0,0,0,0,279,88,65,97
PLF,1998,1,1,18,4.7,72.6,6.2,0.2,4.34,2.7,15.6,0,895,251,3.6,7.4,0,0,0,0,0,0,0,279,88,65,97
PLF,1998,1,1,19,4.2,75.6,6.2,0.3,4.34,2.5,15.1,0,894.7,267,1.9,5.5,0,0,0,0,0,0,0,285,100,65,97
