station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
SIO,1996,1,1,0,2.8,94.3,7,2,4.66,2.4,14.5,0,945.7,270,0.1,1.6,0,0,0,0,0,0,0,307,100,46,97
SIO,1996,1,1,1,2.6,95.4,7.1,2,4.67,2.4,14.4,0,946,45,0.4,2.4,0,0,0,0,0,0,0,307,100,46,97
SIO,1996,1,1,2,2.6,96,7.1,2,4.68,2.3,14.3,0,946.3,63,0.6,2.9,0,0,0,0,0,0,0,307,100,46,97
SIO,1996,1,1,3,2.6,96,7.1,2,4.67,2.3,14.3,0,946.6,66,1.8,3.7,0,0,0,0,0,0,0,301,88,46,97
SIO,1996,1,1,4,2.6,95.8,7.1,2,4.67,2.4,14.3,0,946.8,61,2.1,3.6,0,0,0,0,0,0,0,306,100,46,97
SIO,1996,1,1,5,2.7,95.7,7.1,2.1,4.68,2.4,14.4,0,947,67,1.6,3.4,0,0,0,0,0,0,0,305,100,46,97
SIO,1996,1,1,6,2.8,95.6,7.1,2.1,4.7,2.5,14.5,0,947.2,70,1.2,2.1,0,0,0,0,0,0,0,297,88,46,97
SIO,1996,1,1,7,2.9,95.5,7.2,2.3,4.74,2.6,14.8,0,947.2,56,0.4,1.6,15,0,15,11,11,10,11,298,100,46,97
SIO,1996,1,1,8,3,95.7,7.2,2.4,4.76,2.7,14.9,0,947.3,63,0.2,1.4,67,0,67,48,48,46,48,297,100,46,97
SIO,1996,1,1,9,3.7,93.5,7.4,2.8,4.9,3.3,16,0,946.9,76,0.5,1.7,114,0,114,82,82,79,82,286,75,46,97
SIO,1996,1,1,10,4.6,90.5,7.6,3.2,5.04,4,17.3,0,945.8,72,1.3,2.6,153,18,147,104,109,119,104,285,75,46,97
SIO,1996,1,1,11,6.3,83.4,7.9,3.7,5.24,5.1,19.5,0,945,90,1.9,3.1,172,36,159,111,114,146,115,281,68,46,97
SIO,1996,1,1,12,7.2,77.3,7.8,3.5,5.18,5.5,20.3,0,944,124,1,2.4,170,54,153,107,107,159,128,282,75,46,97
SIO,1996,1,1,13,7.3,75.7,7.8,3.3,5.18,5.4,20.4,0,943.7,191,1.1,2,76,17,71,49,49,64,58,290,100,46,97
SIO,1996,1,1,14,6.8,78.3,7.8,3.3,5.18,5.2,19.8,0,943.8,186,1,2.2,59,0,59,42,42,41,42,290,100,46,97
SIO,1996,1,1,15,6.1,81.9,7.7,3.2,5.11,4.8,19,0,944.2,98,0.7,2.4,2,0,2,1,1,1,1,291,100,46,97
SIO,1996,1,1,16,4.2,89.2,7.4,2.6,4.91,3.5,16.5,0,945.1,117,0.8,1.8,0,0,0,0,0,0,0,287,88,46,97
SIO,1996,1,1,17,3.1,91,7,1.8,4.64,2.5,14.7,0,945.7,80,1.2,2.6,0,0,0,0,0,0,0,286,88,46,97
SIO,1996,1,1,18,2.8,91.9,6.9,1.6,4.57,2.3,14.2,0,945.8,71,2.1,3.3,0,0,0,0,0,0,0,291,100,46,97
SIO,1996,1,1,19,2.6,91.2,6.7,1.3,4.44,2,13.7,0,946,57,2.1,3.7,0,0,0,0,0,0,0,289,100,46,97
SIO,1996,1,1,20,2.3,91.1,6.6,1,4.37,1.8,13.2,0,946.1,70,2.6,3.9,0,0,0,0,0,0,0,287,100,46,97
SIO,1996,1,1,21,1.9,91.6,6.4,0.7,4.23,1.4,12.5,0,946.4,61,2.6,3.9,0,0,0,0,0,0,0,285,100,46,97
SIO,1996,1,1,22,0.9,94,6.1,0,4.03,0.5,11,0,946.8,57,2.1,3.4,0,0,0,0,0,0,0,283,100,46,97
SIO,1996,1,1,23,0.3,95,6,-0.4,3.97,0,10.2,0,947.2,78,1.5,2.6,0,0,0,0,0,0,0,281,100,46,97
SIO,1996,1,2,0,0.4,93.5,5.9,-0.5,3.9,0,10.1,0,947.2,69,2.3,4.6,0,0,0,0,0,0,0,275,88,46,97
SIO,1996,1,2,1,0.7,92.6,6,-0.4,3.96,0.3,10.6,0,947.5,58,1.9,3.6,0,0,0,0,0,0,0,278,88,46,97
SIO,1996,1,2,2,0.5,92.9,5.9,-0.5,3.9,0.1,10.2,0,947.9,68,1.7,3,0,0,0,0,0,0,0,280,88,46,97
SIO,1996,1,2,3,1.1,89.9,5.9,-0.4,3.9,0.5,10.8,0,947.9,58,1.9,3.4,0,0,0,0,0,0,0,287,100,46,97
SIO,1996,1,2,4,0.9,91.7,6,-0.3,3.96,0.4,10.8,0,948.4,106,0.9,2.1,0,0,0,0,0,0,0,288,100,46,97
SIO,1996,1,2,5,1.1,90.8,6,-0.2,3.96,0.6,11,0,948.8,67,0.8,2.9,0,0,0,0,0,0,0,290,100,46,97
SIO,1996,1,2,6,1.6,88.2,6,-0.1,3.96,0.9,11.5,0,949.2,60,2.9,4.5,0,0,0,0,0,0,0,291,100,46,97
SIO,1996,1,2,7,1.6,88.4,6.1,-0.1,4.02,0.9,11.7,0,950,63,2.9,4.5,15,0,15,11,11,11,11,294,100,46,97
SIO,1996,1,2,8,2,87,6.1,0.1,4.02,1.2,12,0.1,950.8,54,3,4.9,69,0,69,51,51,49,51,297,100,46,97
SIO,1996,1,2,9,2.4,88.1,6.4,0.6,4.21,1.6,12.9,0.2,951.4,76,2.5,4.3,105,0,105,74,74,71,74,300,100,46,97
SIO,1996,1,2,10,3.2,86.8,6.7,1.2,4.41,2.3,14.3,0,951.6,77,1.3,2.4,131,10,127,88,91,95,88,303,100,46,97
SIO,1996,1,2,11,4,83,6.8,1.4,4.48,2.9,15.2,0,951.6,52,1.2,2.3,152,18,145,101,102,117,103,303,100,46,97
SIO,1996,1,2,12,4.5,82.5,6.9,1.8,4.54,3.3,15.9,0.1,951.8,69,1.4,2.6,140,18,134,92,92,108,99,305,100,46,97
SIO,1996,1,2,13,4.6,83.4,7.1,2,4.67,3.4,16.3,0.1,952.3,81,1.3,2.6,106,15,102,70,70,82,79,305,100,46,97
SIO,1996,1,2,14,4.7,84.3,7.2,2.3,4.73,3.6,16.6,0.1,953.2,104,0.4,1.6,58,0,58,41,41,40,41,305,100,46,97
SIO,1996,1,2,15,4.5,88,7.4,2.7,4.86,3.7,16.7,0,954.2,180,0.1,1.2,12,0,12,8,8,8,9,305,100,46,97
SIO,1996,1,2,16,4.2,93.4,7.7,3.2,5.05,3.7,16.9,0.8,955.2,207,0.6,1.4,0,0,0,0,0,0,0,305,100,46,97
SIO,1996,1,2,17,3.9,95.8,7.7,3.3,5.05,3.6,16.6,0.5,956.1,196,0.8,1.5,0,0,0,0,0,0,0,304,100,46,97
SIO,1996,1,2,18,3.8,96.4,7.7,3.3,5.05,3.6,16.5,0.2,957,198,0.3,1,0,0,0,0,0,0,0,304,100,46,97
SIO,1996,1,2,19,3.6,97,7.7,3.2,5.04,3.4,16.2,0.1,957.6,180,0.4,1.5,0,0,0,0,0,0,0,303,100,46,97
SIO,1996,1,2,20,3.7,96.8,7.7,3.2,5.04,3.5,16.3,0.1,958.3,77,0.9,1.9,0,0,0,0,0,0,0,301,100,46,97
SIO,1996,1,2,21,3.7,96.5,7.7,3.2,5.04,3.5,16.3,0,958.7,76,1.2,2.1,0,0,0,0,0,0,0,299,100,46,97
SIO,1996,1,2,22,3.6,96.8,7.6,3.1,4.97,3.4,16.1,0,959.4,83,0.9,1.9,0,0,0,0,0,0,0,298,100,46,97
SIO,1996,1,2,23,3.6,96.7,7.6,3.1,4.96,3.4,16,0,960.2,207,0.4,1.3,0,0,0,0,0,0,0,301,100,46,97
SIO,1996,1,3,0,3.5,97.6,7.6,3.2,4.96,3.4,15.9,0,960.5,211,0.6,1.9,0,0,0,0,0,0,0,299,100,46,97
SIO,1996,1,3,1,3.5,97.6,7.7,3.2,5.02,3.4,16.1,0,961.2,90,0.2,1.4,0,0,0,0,0,0,0,297,100,46,97
SIO,1996,1,3,2,3.7,97.7,7.8,3.4,5.09,3.6,16.5,0,961.8,70,1.2,2,0,0,0,0,0,0,0,295,100,46,97
SIO,1996,1,3,3,3.6,97.6,7.7,3.3,5.02,3.5,16.2,0,962.1,74,1.4,2.7,0,0,0,0,0,0,0,293,100,46,97
SIO,1996,1,3,4,3.6,97.5,7.7,3.2,5.02,3.4,16.2,0,962.3,67,1.3,2.8,0,0,0,0,0,0,0,291,100,46,97
SIO,1996,1,3,5,3.5,97.7,7.7,3.2,5.02,3.4,16.1,0,962.6,63,0.7,3,0,0,0,0,0,0,0,283,88,46,97
SIO,1996,1,3,6,3.5,97.2,7.7,3.1,5.01,3.3,16.1,0.1,962.8,72,1.6,3.1,0,0,0,0,0,0,0,286,100,46,97
SIO,1996,1,3,7,3.6,95.8,7.6,3,4.95,3.3,16,0,963.1,67,2.1,3.9,18,0,18,17,17,16,17,286,100,46,97
SIO,1996,1,3,8,3.7,95.6,7.6,3.1,4.95,3.4,16.1,0,963.4,85,1.2,2.2,70,0,70,53,53,52,53,286,100,46,97
SIO,1996,1,3,9,4.3,92.7,7.7,3.2,5.01,3.8,16.9,0,963.7,86,1.4,2.5,115,0,115,82,82,79,82,286,100,46,97
SIO,1996,1,3,10,4.6,89.6,7.6,3,4.95,3.9,17,0,963.5,65,1.7,2.7,156,20,149,105,111,123,105,279,80,46,97
SIO,1996,1,3,11,5.4,85.1,7.6,3.1,4.95,4.3,17.8,0,963.1,63,1.1,2.2,187,57,167,117,122,174,123,275,70,46,97
SIO,1996,1,3,12,6.5,80.7,7.8,3.4,5.08,5.1,19.3,0,962.5,117,0.5,1.8,168,47,152,106,106,152,124,271,60,46,97
SIO,1996,1,3,13,7.5,72.3,7.5,2.8,4.88,5.3,19.8,0,962.5,174,1,2.1,124,32,115,80,80,107,98,278,88,46,97
SIO,1996,1,3,14,7.5,63.7,6.6,1.1,4.29,4.6,18.3,0,962.6,207,1.1,2.7,65,0,65,46,46,45,47,275,88,46,97
SIO,1996,1,3,15,5.5,78.1,7.1,2,4.62,3.9,17.1,0,963.1,198,0.7,2,13,0,13,10,10,10,10,276,100,46,97
SIO,1996,1,3,16,4.2,80.9,6.7,1.2,4.36,2.9,15.1,0,963.4,191,0.7,1.9,0,0,0,0,0,0,0,273,100,46,97
SIO,1996,1,3,17,3.7,83.3,6.6,1.1,4.29,2.6,14.5,0,963.7,90,0.3,1.6,0,0,0,0,0,0,0,271,100,46,97
SIO,1996,1,3,18,3.3,85.7,6.7,1.1,4.35,2.4,14.2,0,964,108,0.6,1.4,0,0,0,0,0,0,0,267,100,46,97
SIO,1996,1,3,19,3.5,82.3,6.5,0.8,4.22,2.4,14.1,0,964,72,1.9,4.1,0,0,0,0,0,0,0,258,88,46,97
SIO,1996,1,3,20,3.6,80.8,6.4,0.6,4.15,2.3,14,0,964.6,81,1.4,3.1,0,0,0,0,0,0,0,255,100,46,97
