station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0;tso005hs;tso010hs;tso020hs
SIO;01.01.2026 00:00;-6;-6.6;-5.3;-9.2;-10.1;87;3.4;-7.8;964.7;1025.7;1021.8;;;1.9;97;0.8;2.9;6.8;1.8;6.5;0;;0;0;0;;;;;0;-0.002;0.6;1.2;2.2
SIO;01.01.2026 01:00;-6.3;-6.5;-6;-9.8;-10.3;87.4;3.4;-8;964;1025;1021;;;2.9;84;1.1;4;10.4;2.8;10.1;0;;0;0;0;;;;;0;-0.001;0.6;1.2;2.2
SIO;01.01.2026 02:00;-6.1;-6.3;-5.9;-6.8;-7.1;86.7;3.4;-8;963.5;1024.4;1020.5;;;3.7;90;2.3;8.3;13.3;3.6;13;0;;0;0;0;;;;;0;0.001;0.5;1.2;2.2
SIO;01.01.2026 03:00;-6.5;-8.5;-5.6;-7.8;-8.9;86.7;3.3;-8.4;963.1;1024.1;1020.1;;;3;86;1.6;5.8;10.8;2.9;10.4;0;;0;0;0;;;;;0;0;0.5;1.2;2.2
SIO;01.01.2026 04:00;-7.1;-8.5;-6.7;-10.3;-10.6;89.4;3.2;-8.6;962.6;1023.7;1019.6;;;1.3;76;0.6;2.2;4.7;1.3;4.7;0;;0;0;0;;;;;0;-0.003;0.5;1.2;2.2
SIO;01.01.2026 05:00;-7.9;-9.2;-7.3;-11.1;-11.4;90.9;3.1;-9.2;962.2;1023.5;1019.2;;;0.8;90;0.4;1.4;2.9;0.8;2.9;0;;0;0;0;;;;;0;-0.003;0.4;1.1;2.2
SIO;01.01.2026 06:00;-8;-8.3;-7.2;-10.1;-11.6;90.4;3;-9.3;961.7;1022.9;1018.6;;;3.6;86;1.4;5;13;3.5;12.6;0;;0;0;0;;;;;0;-0.001;0.4;1.1;2.2
SIO;01.01.2026 07:00;-7.2;-7.5;-6.9;-8.7;-9.9;87.6;3.1;-8.9;961.4;1022.4;1018.3;;;3.4;80;1.9;6.8;12.2;3.3;11.9;0;;0;0;0;;;;;0;0;0.4;1.1;2.1
SIO;01.01.2026 08:00;-7.5;-7.8;-6.8;-8.5;-9.5;86.5;3;-9.4;961;1022.1;1017.9;;;3.6;90;1.9;6.8;13;3.5;12.6;0;;0;0;8;;;;;0;0.009;0.3;1.1;2.1
SIO;01.01.2026 09:00;-7.5;-8;-7.2;-7.8;-8.2;86;3;-9.4;960.8;1021.9;1017.7;;;2.9;85;1.3;4.7;10.4;2.8;10.1;0;;0;0;26;;;;;0;0.015;0.3;1;2.1
SIO;01.01.2026 10:00;-6.2;-7.3;-4.9;-7.9;-8.2;82.3;3.2;-8.7;960.4;1021.1;1017.3;;;1.8;63;0.8;2.9;6.5;1.8;6.5;0;;0;0;39;;;;;0;0.02;0.3;1;2.1
SIO;01.01.2026 11:00;-3.8;-4.9;-3;-2.2;-7.4;75.5;3.5;-7.5;959.3;1019.4;1016.1;;;2.3;112;0.7;2.5;8.3;2.3;8.3;0;;0;0;270;;;;;50;0.072;0.3;1;2.1
SIO;01.01.2026 12:00;-1.5;-2.4;-0.6;2.7;0.8;62.5;3.4;-7.7;957.5;1016.9;1014.2;;;2.8;113;1.4;5;10.1;2.7;9.7;0;;0;0;354;;;;;60;0.105;0.3;1;2
SIO;01.01.2026 13:00;0.3;-0.3;0.7;5.6;4.8;51.8;3.2;-8.5;956.3;1015.3;1013;;;3.8;189;1.1;4;13.7;3.6;13;0;;0;0;343;;;;;60;0.109;0.3;1;2
