station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ZER,1994,1,1,0,-2.7,86.7,4.4,-4.7,3.29,-3.4,5.5,0,833.3,47,1.9,4,0,0,0,0,0,0,0,232,100,89,96
ZER,1994,1,1,1,-2.6,90.2,4.6,-4,3.47,-3.1,6,1,829.9,90,0.1,2.1,0,0,0,0,0,0,0,228,100,89,96
ZER,1994,1,1,2,-2.5,91.1,4.7,-3.8,3.53,-3,6.2,0.6,827.6,45,0.7,3.7,0,0,0,0,0,0,0,224,100,89,96
ZER,1994,1,1,3,-2.5,90.7,4.7,-3.9,3.53,-3,6.3,0,825.6,45,1.1,3.4,0,0,0,0,0,0,0,220,100,89,96
ZER,1994,1,1,4,-2.4,89.6,4.6,-4,3.5,-3,6.3,1.4,824.6,180,0.6,2.7,0,0,0,0,0,0,0,214,88,89,96
ZER,1994,1,1,5,-2.5,84.1,4.3,-4.9,3.27,-3.3,5.7,0.8,825.1,27,1,5.6,0,0,0,0,0,0,0,212,100,89,96
ZER,1994,1,1,6,-2.5,76.2,3.9,-6.2,2.96,-3.8,4.9,0.1,826.1,200,1.3,5.2,0,0,0,0,0,0,0,209,100,89,96
ZER,1994,1,1,7,-2.6,67.4,3.4,-7.9,2.58,-4.4,3.8,0,827,288,0.6,3.8,15,0,15,26,25,25,27,208,100,89,96
ZER,1994,1,1,8,-2.8,61.5,3.1,-9.2,2.34,-4.9,3,0,828,231,0.9,4.2,80,0,80,109,106,105,111,206,100,89,96
ZER,1994,1,1,9,-2.4,53.2,2.7,-10.6,2.03,-5,2.6,0,828.7,188,1,5.6,134,0,134,173,170,168,177,205,100,89,96
ZER,1994,1,1,10,-2.2,49.8,2.6,-11.3,1.96,-5,2.6,0,829.3,233,1.8,7.6,278,229,201,215,295,452,219,203,100,89,96
ZER,1994,1,1,11,-2,40.8,2.2,-13.6,1.65,-5.4,2.1,0,829.6,143,0.8,5.5,295,230,213,228,247,472,260,201,100,89,96
ZER,1994,1,1,12,-2,36.3,1.9,-15,1.43,-5.6,1.5,0,829.9,45,1.2,9.1,274,230,197,211,207,447,308,200,100,89,96
ZER,1994,1,1,13,-2.4,37.2,1.9,-15,1.43,-5.9,1.1,0,830.1,51,2,9.6,216,234,154,166,163,383,307,198,100,89,96
ZER,1994,1,1,14,-2.6,37.4,1.9,-15.2,1.43,-6.1,0.9,0,830.5,43,2.3,8.9,105,126,81,99,96,200,189,196,100,89,96
ZER,1994,1,1,15,-3.1,43.5,2.1,-13.8,1.58,-6.1,0.8,0,831,63,1.4,9.4,15,0,15,22,22,21,23,194,100,89,96
ZER,1994,1,1,16,-3.5,43.5,2,-14.1,1.5,-6.4,0.2,0,831.5,166,0.7,4.8,0,0,0,0,0,0,0,191,75,89,96
ZER,1994,1,1,17,-4.7,49.2,2.1,-13.7,1.57,-7.2,-0.8,0,831.9,238,1,3,0,0,0,0,0,0,0,187,40,89,96
ZER,1994,1,1,18,-5.8,54.8,2.2,-13.4,1.65,-7.8,-1.8,0,833.3,236,0.7,4,0,0,0,0,0,0,0,186,50,89,96
ZER,1994,1,1,19,-6.9,59.3,2.2,-13.5,1.65,-8.6,-2.9,0,833.9,239,0.6,2.2,0,0,0,0,0,0,0,186,55,89,96
ZER,1994,1,1,20,-7.5,57,2,-14.5,1.5,-9.3,-3.9,0,834,229,1.1,2.8,0,0,0,0,0,0,0,185,55,89,96
ZER,1994,1,1,21,-8.2,58.7,2,-14.9,1.5,-9.8,-4.6,0,833.9,229,1,2.2,0,0,0,0,0,0,0,184,50,89,96
ZER,1994,1,1,22,-8.6,57.3,1.8,-15.5,1.34,-10.2,-5.3,0,834.3,230,0.7,1.9,0,0,0,0,0,0,0,183,50,89,96
ZER,1994,1,1,23,-9.2,58.6,1.8,-15.8,1.35,-10.7,-5.9,0,834.1,221,1.1,2.3,0,0,0,0,0,0,0,182,40,89,96
ZER,1994,1,2,0,-9.1,53,1.6,-16.9,1.2,-10.8,-6.2,0,833.6,248,1.2,3.5,0,0,0,0,0,0,0,183,40,89,97
ZER,1994,1,2,1,-9.9,61.1,1.8,-16,1.35,-11.3,-6.7,0,833.4,233,0.8,2.7,0,0,0,0,0,0,0,187,50,89,97
ZER,1994,1,2,2,-9.2,57.6,1.8,-16,1.35,-10.8,-5.9,0,833.2,288,0.6,2.7,0,0,0,0,0,0,0,196,100,89,97
ZER,1994,1,2,3,-8.2,48.3,1.6,-17.2,1.2,-10.2,-5.3,0,832.7,231,0.7,3,0,0,0,0,0,0,0,201,100,89,97
ZER,1994,1,2,4,-7.2,44.2,1.6,-17.3,1.2,-9.5,-4.3,0,831.9,232,1.2,2.9,0,0,0,0,0,0,0,206,100,89,97
ZER,1994,1,2,5,-6.8,57.3,2.1,-13.8,1.57,-8.6,-3,0,832.3,41,1,4.1,0,0,0,0,0,0,0,208,88,89,97
ZER,1994,1,2,6,-7.6,82.1,2.8,-10.1,2.1,-8.3,-2.4,0.4,830.9,225,1,3.1,0,0,0,0,0,0,0,214,100,89,97
ZER,1994,1,2,7,-7.4,85,3,-9.5,2.26,-8,-1.9,0.7,830.4,225,0.3,2.2,20,0,20,31,30,30,32,216,100,89,97
ZER,1994,1,2,8,-7,86.7,3.2,-8.8,2.41,-7.5,-1.1,1,830,225,0.5,2.5,63,0,63,118,113,111,123,218,100,89,97
ZER,1994,1,2,9,-6.6,89.8,3.4,-8,2.56,-7,-0.3,1.9,830.2,270,0.5,2.5,121,0,121,181,175,173,185,221,100,89,97
ZER,1994,1,2,10,-5.3,87.1,3.6,-7.1,2.71,-5.9,1.4,0.7,830,153,2.1,7,292,279,197,218,316,504,223,223,100,89,97
ZER,1994,1,2,11,-4.7,90.1,3.9,-6.1,2.94,-5.2,2.6,2.1,828.9,219,1.8,5.6,355,429,201,246,275,690,301,225,100,89,97
ZER,1994,1,2,12,-2.4,84.6,4.3,-4.6,3.25,-3.2,5.7,0,827.6,248,2,10.5,94,10,90,86,86,96,90,227,100,89,97
ZER,1994,1,2,13,-3.9,94,4.2,-4.7,3.18,-4.2,4,0.4,826.8,43,2.4,7.8,197,255,134,150,147,376,307,227,100,89,97
ZER,1994,1,2,14,-3.3,93.3,4.5,-4.2,3.4,-3.6,5.1,1.8,827.1,18,0.7,5.4,115,236,69,107,102,295,273,227,100,89,97
ZER,1994,1,2,15,-2.7,94,4.7,-3.5,3.56,-3,6.1,3.7,826.7,219,0.7,2.7,20,0,20,27,27,26,28,227,100,89,97
ZER,1994,1,2,16,-2.1,95.6,5,-2.7,3.78,-2.3,7.3,5.1,826.7,225,0.7,3.2,0,0,0,0,0,0,0,227,100,89,97
ZER,1994,1,2,17,-1.3,94.8,5.3,-2,4.02,-1.6,8.7,0.4,825.9,239,0.7,4.4,0,0,0,0,0,0,0,227,100,89,97
ZER,1994,1,2,18,-0.8,96.1,5.5,-1.3,4.17,-1,9.6,0.1,826.8,43,2.3,8.1,0,0,0,0,0,0,0,227,100,89,97
ZER,1994,1,2,19,0.1,85.3,5.2,-2.1,3.94,-0.8,9.9,0.1,827,231,1.3,4.6,0,0,0,0,0,0,0,225,100,89,97
ZER,1994,1,2,20,0.6,74.9,4.7,-3.3,3.55,-1,9.5,0,827.5,246,2.1,6.2,0,0,0,0,0,0,0,224,100,89,97
ZER,1994,1,2,21,0,79.1,4.8,-3.2,3.63,-1.3,9,0,828.3,18,0.9,4.7,0,0,0,0,0,0,0,222,100,89,97
